group,n,mean_spacing,mu2_mean,mu2_sd,mu3_mean,mu3_sd,mu4_raw_mean,mu4_raw_sd,pair_part_mean,mu4_gt2_mean,mu4_gt2_sd,q4_per_core_mean,q4_per_core_sd
D0_first_10000,16,0.9998502180823603,1.2964656892596387,0.012751577162208351,1.8736892199492337,0.04317959551335048,2.908148314863155,0.11223625795412528,1.8653091920353257,0.04283912282782922,0.036578692984272715,0.0035764024898607073,0.003485516889748127
D1_near_1e12,16,1.0002260554821973,1.337000198457563,0.018030766961669425,2.011884454459646,0.06115205409380892,3.282538581323404,0.17548769409743745,2.141804133959243,0.14073444736416085,0.08553604699408171,-0.0004997927089157314,0.005987516300538396
D2_near_1e21,16,0.9997322114486031,1.3313640395899675,0.02918699596962653,1.990887556520517,0.10168884857103218,3.2190722198327313,0.27180258411123637,2.1027274064562373,0.11634481337649369,0.07781869123377554,-0.0011312434968909018,0.005809342828800632
CUE,64,0.9996368615222839,1.326307870427889,0.022203358367923226,1.9772501424296165,0.0761483523953964,3.1930655902966203,0.20338812846618928,2.070453595654766,0.12261199464185493,0.06832269852881873,0.0006418338603996697,0.004803939369280056
Poisson,64,0.998159127193247,2.0008074764554356,0.12653478659187567,5.003887965673786,0.7138965983140085,14.673026865907145,3.645423007575997,6.674546021754324,6.998480844152821,2.9209694614859174,0.9878371311994245,0.9373679462495587
