source,index,point_count,span,mean_spacing,mu1,mu2,mu3,mu4_raw,mu4_gt2,q4_per_core,pair_part_per_core,three_index_part_per_core,reconstruction_relative_error,window_start
D0_first_10000,0,512,511.033059274314,1.0000646952530607,1.0,1.285149357426745,1.8383959373809031,2.820138832126277,0.028321470982873756,0.00252317229127208,1.791817361143403,0.025798298691601676,0.0,0
D0_first_10000,1,512,511.32439129254453,1.000634816619461,1.0,1.3018234192290854,1.8905982678092002,2.9581212170915983,0.04605446910655902,0.005050313433784051,1.9120667479850393,0.04100415567277497,1.5012542666750069e-16,633
D0_first_10000,2,512,510.34352651560494,0.9987153160775047,1.0,1.2960473925926665,1.8640951401595864,2.8621950129492797,0.005320930301702997,0.00017083094016637906,1.8568740826475767,0.005150099361536618,0.0,1265
D0_first_10000,3,512,510.894441686464,0.9997934279578552,1.0,1.3068400267151585,1.9216868965932208,3.065543918875517,0.1247968018329465,0.011627520685308701,1.9407471170425703,0.1131692811476378,0.0,1898
D0_first_10000,4,512,511.5742439430496,1.0011237650548916,1.0,1.295726114221486,1.867454560854723,2.8721726397073075,0.024148849237246778,0.0007442643292435228,1.8480237904700612,0.023404584908003255,0.0,2530
D0_first_10000,5,512,510.9883420080405,0.9999771859257153,1.0,1.2835946720748306,1.8327147930769994,2.813411774624932,0.027952217676720792,0.005339333719794809,1.7854595569482112,0.022612883956925983,0.0,3163
D0_first_10000,6,512,511.2602226294571,1.0005092419363153,1.0,1.2938491179290872,1.8630718259442793,2.8839662767049736,0.03347838668855452,0.004092419029491048,1.8504878900164194,0.02938596765906347,0.0,3795
D0_first_10000,7,512,510.2305068978121,0.9984941426571666,1.0,1.3067058768966067,1.914137464031097,3.0219874580196153,0.08694433739336409,0.006585451083675656,1.9350431206262513,0.08035888630968843,1.4695269785834434e-16,4428
D0_first_10000,8,512,510.77735436764306,0.9995642942615324,1.0,1.314038287101293,1.930795456312457,3.0493987341993005,0.06333303816848967,0.005114060052512512,1.9860656960308103,0.05821897811597716,0.0,5060
D0_first_10000,9,512,510.8927614169088,0.999790139759117,1.0,1.2785659706177832,1.8161183778685088,2.7668579735642593,0.018233229271285234,0.0010173995627266452,1.748624744292974,0.01721582970855859,0.0,5693
