zero_index,gamma,x_unfolded,S_tilde_n_minus_half_minus_x
1,14.134725141735,0.4492778727433573,0.05072212725664271
2,21.022039638772,1.5698956896187108,-0.06989568961871084
3,25.010857580146,2.393332685918328,0.10666731408167207
4,30.42487612586,3.67084647533391,-0.17084647533391006
5,32.935061587739,4.317069648518563,0.18293035148143666
6,37.586178158826,5.593378761769833,-0.0933787617698334
7,40.918719012148,6.564967037942235,-0.06496703794223535
8,43.327073280915,7.294228067167278,0.20577193283272166
9,48.005150881167,8.770680390902253,-0.27068039090225327
10,49.773832477672,9.348203031688346,0.151796968311654
11,52.970321477714,10.417088185688067,0.08291181431193273
12,56.446247697063,11.614219755867952,-0.11421975586795163
13,59.347044002603,12.63945354371361,-0.13945354371361063
14,60.83177852461,13.173009079658566,0.3269909203414336
15,65.112544048082,14.74316028162716,-0.2431602816271603
16,67.079810529494,15.479946676293984,0.020053323706015647
17,69.546401711174,16.416685956868104,0.08331404313189594
18,72.067157674482,17.38837998598008,0.11162001401991972
19,75.704690699084,18.815181952135333,-0.3151819521353332
20,77.144840068875,19.387835871884032,0.11216412811596754
21,79.337375020249,20.26785477909121,0.23214522090879086
22,82.910380854086,21.722502052462893,-0.22250205246289312
23,84.735492980517,22.475069144012977,0.024930855987022937
24,87.425274613125,23.595541760622535,-0.09554176062253461
25,88.809111207634,24.17715892940897,0.3228410705910285
26,92.491899270558,25.741588862783125,-0.24158886278312508
27,94.65134404052,26.669826433293984,-0.16982643329398428
28,95.870634228245,27.19741372518921,0.30258627481078904
29,98.831194218194,28.4886597252348,0.01134027476519961
30,101.317851005731,29.584138584916364,-0.08413858491636361
31,103.725538040478,30.654086665452933,-0.15408666545293315
32,105.446623052326,31.42438087047827,0.07561912952172989
33,107.168611184276,32.199553855062845,0.3004461449371547
34,111.02953554317,33.95349563198868,-0.45349563198868026
35,111.874659176993,34.34029547054487,0.15970452945512648
36,114.320220915453,35.465288105429856,0.0347118945701439
37,116.226680320858,36.34807101308948,0.15192898691051937
38,118.790782865976,37.543208621745705,-0.0432086217457055
39,121.370125002421,38.75433708589338,-0.25433708589338266
40,122.946829293553,39.49898610772141,0.0010138922785927207
41,124.256818554346,40.12011985946528,0.3798801405347234
42,127.516683879596,41.67528226888676,-0.17528226888676102
43,129.578704199956,42.66586698072678,-0.16586698072678274
44,131.087688530933,43.394089931597776,0.10591006840222406
45,133.497737202997,44.56287961992948,-0.06287961992948254
46,134.756509753374,45.17610140089769,0.3238985991023071
47,138.116042054533,46.821841555460935,-0.32184155546093507
48,139.736208952122,47.62018395842279,-0.12018395842279261
49,141.123707404021,48.30625613840769,0.19374386159230994
50,143.11184580762,49.2931040358672,0.20689596413279787
51,146.000982486766,50.7349978193611,-0.23499781936109798
52,147.42276534256,51.4479251198038,0.052074880196201434
53,150.053520420785,52.77280901142758,-0.27280901142758296
54,150.925257612241,53.21345328450103,0.2865467154989716
55,153.024693811199,54.27795294436851,0.22204705563149219
56,156.112909294238,55.852117657571696,-0.35211765757169644
57,157.597591817594,56.61238185143537,-0.11238185143537294
58,158.84998817142,57.25543058963267,0.24456941036733326
59,161.188964137596,58.46058733660548,0.039412663394521985
60,163.030709687182,59.41335159448125,0.0866484055187513
61,165.5370691879,60.71524357452371,-0.21524357452371135
62,167.184439978175,61.57424161263037,-0.07424161263036666
63,169.094515415568,62.57345593676376,-0.07345593676375728
64,169.911976479412,63.00214444468544,0.4978555553145583
65,173.411536519592,64.84440356902775,-0.3444035690277474
66,174.754191523366,65.55420795759011,-0.054207957590108435
67,176.441434297711,66.44850761186422,0.051492388135784495
68,178.3774077761,67.47780571113057,0.022194288869428647
69,179.916484020258,68.2984734609755,0.20152653902449913
70,182.207078484366,69.52374114890331,-0.023741148903312137
71,184.874467848387,70.95633320752752,-0.45633320752752127
72,185.598783677707,71.34640737788517,0.15359262211482871
73,187.228922583502,72.22594787329992,0.2740521267000844
74,189.416158656017,73.40961513393488,0.09038486606512208
75,192.026656360714,74.82759703341624,-0.32759703341623947
76,193.079726603846,75.40121161603308,0.09878838396691947
77,195.265396679529,76.59467295813641,-0.09467295813641385
78,196.876481840958,77.47688380134491,0.023116198655088738
79,198.015309676252,78.10175906425629,0.3982409357437149
80,201.264751943704,79.8904396125806,-0.3904396125805931
81,202.49359451414,80.5690486910747,-0.06904869107469835
82,204.189671803105,81.50762891781383,-0.007628917813832459
83,205.394697202163,82.17583294814094,0.3241670518590638
84,207.906258887806,83.57213916952813,-0.07213916952812838
85,209.576509716856,84.5033945339382,-0.003394533938205768
86,211.690862595365,85.68529716113349,-0.18529716113349082
87,213.347919359713,86.61392669631553,-0.11392669631553076
88,214.547044783492,87.28720578263903,0.21279421736096538
89,216.169538508264,88.19989257526183,0.3001074247381723
90,219.067596349022,89.83492433526135,-0.33492433526134846
91,220.714918839314,90.76703904317463,-0.2670390431746341
92,221.430705554694,91.17266779874036,0.3273322012596367
93,224.007000254604,92.63566627912562,-0.13566627912561557
94,224.983324669583,93.19132599672172,0.3086740032782842
95,227.421444279679,94.58188169546716,-0.0818816954671604
96,229.337413305525,95.6775556887186,-0.1775556887185985
97,231.250188700499,96.77394458116711,-0.2739445811671146
98,231.98723525318,97.19708750729112,0.30291249270888443
99,233.693404178909,98.17803743731622,0.32196256268377965
100,236.524229665816,99.80996734088733,-0.3099673408873258
101,237.769820480925,100.52974457424727,-0.029744574247274613
102,239.555477573328,101.56341476344102,-0.06341476344101693
103,241.049157796217,102.4296950038609,0.07030499613910024
104,242.823271934223,103.46052990206924,0.03947009793076006
105,244.070898497078,104.18668978398064,0.31331021601936015
106,247.136990074898,105.97555808392612,-0.4755580839261171
107,248.101990060148,106.53982999100914,-0.03982999100914242
108,249.573689644707,107.4015377173846,0.09846228261540091
109,251.014947795016,108.24676012551828,0.25323987448172147
110,253.069986747999,109.45420880398169,0.04579119601831394
111,255.306256454914,110.77115746975646,-0.27115746975646005
112,256.380713694435,111.40502033333884,0.09497966666116042
113,258.610439491531,112.72270305140792,-0.2227030514079189
114,259.874406989678,113.4710200626018,0.028979937398204925
115,260.805084504597,114.02264239610702,0.4773576038929832
116,263.57389390487,115.66686291966246,-0.16686291966246358
117,265.557851838876,116.84785960254835,-0.347859602548354
118,266.614973781501,117.47810027858807,0.021899721411926976
119,267.921915082824,118.2582015166299,0.24179848337010412
120,269.970449023998,119.48299234948774,0.017007650512255168
121,271.494055641646,120.39554152494958,0.10445847505042138
122,273.459609188403,121.57479956696017,-0.07479956696016643
123,275.587492649344,122.85398369807804,-0.3539836980780393
124,276.452049503133,123.37446308739236,0.1255369126076431
125,278.250743529842,124.45868789509647,0.04131210490352544
126,279.229250927745,125.04929490289912,0.45070509710087947
127,282.465114765053,127.0062720236935,-0.5062720236934979
128,283.211185733234,127.45831826294896,0.04168173705103584
129,284.835963980905,128.4438566695963,0.056143330403699565
130,286.667445363003,129.55654265177137,-0.05654265177136608
131,287.911920501422,130.31366612766692,0.18633387233307985
132,289.579854929219,131.32975905869446,0.17024094130553635
133,291.846291329067,132.7129035783828,-0.21290357838279306
134,293.558434139356,133.75963637412127,-0.2596363741212713
135,294.965369619265,134.6209681258663,-0.12096812586631245
136,295.573254878958,134.99344873736936,0.5065512626306372
137,297.979277061943,136.46968294414992,0.030317055850076713
138,299.840326053722,137.61366655187564,-0.11366655187563879
139,301.649325462194,138.72741750129524,-0.22741750129523552
140,302.696749589607,139.37307754525506,0.12692245474494257
141,304.864371340857,140.71108701671074,-0.21108701671073504
142,305.728912602037,141.24542827660855,0.2545717233914502
143,307.21949612817,142.16761643171077,0.3323835682892309
144,310.109463146702,143.95884369568375,-0.45884369568375405
145,311.165141530356,144.61423353716725,-0.1142335371672516
146,312.427801180601,145.39887064914683,0.10112935085317076
147,313.985285731159,146.3678351271177,0.13216487288229928
148,315.475616089476,147.29617197204033,0.20382802795967336
149,317.73480594237,148.70557161213253,-0.2055716121325304
150,318.853104256317,149.40417112733078,0.09582887266921603
151,321.160134309114,150.84733960757086,-0.34733960757085924
152,322.144558672483,151.4639527213616,0.0360472786383923
153,323.466969557512,152.29302349271103,0.20697650728897088
154,324.86286605174,153.16909867506223,0.3309013249377699
155,327.443901261905,154.79148721558823,-0.29148721558823354
156,329.033071680481,155.7920210513971,-0.2920210513971142
157,329.953239728234,156.3719131240066,0.12808687599340374
158,331.474467582664,157.3314896778174,0.16851032218261253
159,333.64537852487,158.70280335164878,-0.20280335164878238
160,334.211354833244,159.0606873982174,0.43931260178260345
161,336.841850428391,160.72602778430416,-0.22602778430416492
162,338.339992850807,161.67594962740952,-0.1759496274095227
163,339.858216725364,162.63968152944796,-0.1396815294479552
164,341.042261111047,163.39203378318973,0.10796621681026863
165,342.054877510364,164.0359782960761,0.4640217039238905
166,344.661702940252,165.6959062385315,-0.19590623853150646
167,346.347870566011,166.77126689010666,-0.2712668901066593
168,347.27267758442,167.36162174322567,0.13837825677433102
169,349.316260870696,168.6675411913542,-0.16754119135418932
170,350.408419349192,169.36624862028503,0.13375137971496542
