u_center,pair_count_full,gue_expected_count_edgeweighted,observed_to_gue_expected_ratio,naive_count_z_diagnostic,empirical_full,gue_bin_average
0.05,5,10.879743989186547,0.45956963738940315,-1.7825802018797257,0.00500014000969,0.010880075773905361
0.15,37,74.13115355394271,0.49911539516347014,-4.312588917922865,0.0370014061161114,0.07413404796904367
0.25,121,190.9492591651866,0.6336761950740285,-5.0620231893131455,0.1210058085491379,0.19095854114451258
0.35,282,343.950238947669,0.8198860418378877,-3.34037464155644,0.282016357731075,0.34397032721535326
0.45,433,511.54702923555334,0.8464519882894588,-3.472857636714896,0.4330294474375236,0.5115819583831043
0.55,642,672.1359952771292,0.9551638426019666,-1.1624036422825559,0.6420500823809703,0.6721885543830427
0.6500000000000001,805,808.0168839361029,0.9962663107713706,-0.10613249764446461,0.8050708497723995,0.8080880987057939
0.75,1032,908.1937611404556,1.1363213932499117,4.108216033068908,1.032101151005406,0.9082828445338806
0.8500000000000001,1006,969.5173024215932,1.0376297539892096,1.171680389329013,1.0061086652435416,0.9696220624379863
0.95,1035,996.0592568967605,1.0390948056891314,1.2338479586284248,1.035122150639307,0.9961768215519744
