sample,n_points,rmse_vs_gue_u_0_5,mae_vs_gue_u_0_5,mean_pair_corr_u_10_30
first_1000,1000,0.08740006453931867,0.06647613675495506,0.9991435766349894
first_5000,5000,0.05189029299109561,0.03896365536278852,1.000781587127091
last_5000,5000,0.051503061409650386,0.039136691412082765,0.9984460458844805
last_9000,9000,0.03924668926178929,0.031582982213423455,0.9996824104506108
full_10000,10000,0.03685771151745302,0.029108245394409763,0.9996069647026204
full_10000_binwidth_0.05,10000,0.04755152642285247,0.037488828391364984,0.9996069589360586
full_10000_binwidth_0.1,10000,0.03685771151745302,0.029108245394409763,0.9996069647026204
full_10000_binwidth_0.2,10000,0.028295748476114053,0.02278076023078195,0.999606951640096
