u_center,empirical_full,block_mean,block_se,block_ci95_low,block_ci95_high,gue_theory,pair_count_full
0.05,0.005000140009690043,0.005000435747598016,0.0019869720010852808,0.0011059706254708656,0.008894900869725166,0.00819765988909782,5
0.15000000000000002,0.03700140611611145,0.037011046152878355,0.007442200300966445,0.022424333562984122,0.05159775874277259,0.07186475216546095,37
0.25,0.12100580854913796,0.121041977589325,0.009894299992804556,0.10164914960342808,0.14043480557522192,0.1894305308612979,121
0.35000000000000003,0.282016357731075,0.28215168629542153,0.015223674453408784,0.25231328436674033,0.31199008822410274,0.34336211782807646,282
0.45,0.43302944743752364,0.43333552791663593,0.02312968447932114,0.3880013463371665,0.4786697094961054,0.5118929491750097,433
0.55,0.6420500823809703,0.6425610148980782,0.02186696315948721,0.5997017671054832,0.6854202626906731,0.6732506519270727,642
0.6500000000000001,0.8050708497723995,0.8039064159644814,0.03046542859655686,0.74419417591523,0.8636186560137329,0.8096138684826968,805
0.75,1.032101151005406,1.0303859810314913,0.03318878436099629,0.9653359636839385,1.095435998379044,0.9099367256512553,1032
0.8500000000000001,1.0061086652435416,1.0065944505660547,0.032407193244014455,0.9430763518077864,1.070112549324323,0.9710961341504816,1006
0.95,1.035122150639307,1.0337782302503957,0.032615891962419694,0.9698510820040531,1.0977053784967383,0.9972526250966457,1035
1.05,1.0071289191027084,1.0089194989248598,0.02678210205241093,0.9564265789021343,1.061412418947585,0.9977510151017893,1007
1.1500000000000001,0.9381294685221028,0.9360520409575612,0.03201352310942235,0.8733055356630934,0.998798546252029,0.984209419223987,938
1.25,0.949140480037184,0.9481686645987638,0.02826481831255385,0.8927696207061583,1.0035677084913694,0.9675772212344519,949
1.35,0.9221457065596824,0.9223488693402331,0.0289568153456741,0.8655935112627119,0.9791042274177543,0.9558638460542878,922
1.4500000000000002,0.9621616515422212,0.9626394518062524,0.03558171270469837,0.8928992949050436,1.0323796087074613,0.9529885004556192,962
1.55,0.9651718095143205,0.9658784700296807,0.03432497244521624,0.898601524037057,1.0331554160223047,0.9588588229793713,965
1.6500000000000001,1.0021884212392156,1.0021773985644686,0.025383314034584457,0.9524261030566831,1.051928694072254,0.9704543101685728,1002
1.75,1.0071994358973406,1.0053350323319759,0.020468625702113465,0.9652165259558334,1.0454535387081183,0.9834577659359448,1007
1.85,1.0432170004807417,1.0436760432517609,0.027434818404049818,0.9899037991798233,1.0974482873236986,0.993898307355361,1043
1.9500000000000002,0.9692112991264781,0.9705978789427414,0.025157157773917242,0.9212898497058636,1.0199059081796191,0.9993479274555483,969
2.05,0.9882253271885898,0.9879186763668667,0.031539286946241245,0.9261016739522339,1.0497356787814995,0.9994099926590655,988
2.1500000000000004,0.9592283083227428,0.958986612491306,0.02944385118313069,0.9012766641723698,1.016696560810242,0.9954823054459109,959
2.25,0.9492354227579736,0.9491423397347868,0.029949238820036007,0.8904418316475162,1.0078428478220574,0.9899929695168062,949
2.3500000000000005,0.989255241281271,0.9885038188464008,0.030862800952547526,0.9280127289794077,1.048994908713394,0.9854344697933797,989
2.45,1.0052694263955724,1.0077647336437978,0.030957114825900172,0.9470887885850334,1.0684406787025622,0.9835332481812478,1005
2.55,0.9682691930256095,0.9657758357543429,0.024463445530157807,0.9178274825152336,1.0137241889934523,0.984799434403374,968
2.6500000000000004,1.0182932839387449,1.0202156228085104,0.02173975435193747,0.977605704278713,1.0628255413383079,0.9885456546007746,1018
2.75,1.0243052590846973,1.0225121953426903,0.037287344880984265,0.9494289993759611,1.0955953913094194,0.9933010787674488,1024
2.8500000000000005,1.0043093436230581,1.0005434903348136,0.029947786806871393,0.9418458281933457,1.0592411524762815,0.9974289882331453,1004
2.95,0.9623060294986805,0.9645301979701163,0.02900350601323207,0.9076833261841815,1.0213770697560511,0.9997150812007725,962
3.05,1.0033291093608179,1.0049984700256391,0.03091195613285123,0.9444110360052507,1.0655859040460276,0.9997334581187555,1003
3.1500000000000004,0.9833323839427142,0.9820632167991746,0.024830117625735646,0.9333961862527328,1.0307302473456166,0.9978953849255453,983
3.25,0.9933457026170909,0.9882293515049962,0.03344501010785599,0.9226771316935984,1.053781571316394,0.995203730951842,993
3.3500000000000005,0.9473391653972527,0.9502069056379371,0.02996621344932747,0.8914731272772553,1.008940683998619,0.9928324223153432,947
3.45,1.009371468398595,1.007824483539318,0.02119950726199408,0.9662734493058096,1.0493755177728263,0.9916957212525049,1009
3.55,0.9973770285195541,1.000973282501988,0.01640059094858723,0.968828124242757,1.0331184407612188,0.9921569785525046,997
3.6500000000000004,0.9803804077895687,0.9830427368802568,0.026911373951238257,0.9302964439358298,1.0357890298246837,0.9939622337724856,980
3.75,1.0274089304690888,1.0245206919242276,0.03889786584532438,0.9482808748673918,1.1007605089810633,0.9963974690260502,1027
3.8500000000000005,1.0494281894481792,1.0499232186386953,0.024404613434297496,1.0020901763074723,1.0977562609699183,0.9985911254460261,1049
3.95,0.9774085784994772,0.9775526650192967,0.022766570144501497,0.9329301875360738,1.0221751425025196,0.9998410827847923,977
4.050000000000001,0.9424033700873389,0.9405112209468305,0.027433087298988648,0.8867423698408128,0.9942800720528482,0.9998488336625345,942
4.15,0.9574193719886167,0.9547837441545314,0.0322282948215755,0.8916162863042434,1.0179512020048194,0.9987874557656393,957
4.25,0.9864419495058833,0.990284855196381,0.029362363322710285,0.9327346230838688,1.047835087308893,0.9971952613524613,986
4.35,1.0064609836637206,1.0035474245136613,0.03159309912845506,0.9416249502218894,1.0654698988054332,0.9957490743524344,1006
4.45,1.0124738629944303,1.0139049461340075,0.038458465093291955,0.9385263545511553,1.0892835377168597,0.9950086262950607,1012
4.550000000000001,1.041497862490426,1.040340866362341,0.023778564307186365,0.9937348803202557,1.0869468524044263,0.9952256163365748,1041
4.65,1.0265009591528176,1.023379890662839,0.02882641460142344,0.9668801180440492,1.079879663281629,0.9962798871284051,1026
4.75,0.9894927936683068,0.990231268619285,0.03147311418644871,0.9285439648138456,1.0519185724247244,0.9977546552101421,989
4.8500000000000005,1.0115138764368983,1.0126851102354606,0.029175106519809094,0.9555019014566348,1.0698683190142864,0.9991122098809108,1011
4.95,0.9564954910789213,0.9543122456254736,0.029446249666777505,0.8965975962785897,1.0120268949723574,0.9998988060054983,956
5.050000000000001,0.9144828727049705,0.9161036181285482,0.02432090432742932,0.8684346456467867,0.9637725906103097,0.9999027740084196,914
5.15,1.0095431631916927,1.0041961271890294,0.019378576032170546,0.9662141181659751,1.0421781362120837,0.9992126291610415,1009
5.25,1.0335664246181275,1.0336965745353666,0.031088698038853006,0.9727627263792147,1.0946304226915184,0.9981619739928828,1033
5.3500000000000005,1.0555890501213219,1.0571643505675328,0.02676883492389912,1.0046974341166905,1.109631267018375,0.9971896885119728,1055
5.45,1.0545990442285251,1.0523470007220963,0.02715473683917238,0.9991237165173185,1.1055702849268743,0.9966722774920609,1054
5.550000000000001,1.0325968728545367,1.0373725508020528,0.02206402705857575,0.9941270577672443,1.0806180438368613,0.9967911150785793,1032
5.65,0.9615654306627808,0.9657670650760286,0.027648078883043322,0.9115768304652637,1.0199572996867936,0.9974802054799574,961
5.75,0.9395618880151578,0.9406866115989662,0.03210406131299795,0.8777626514254901,1.0036105717724422,0.9984677325725166,939
5.8500000000000005,0.9555810242965423,0.9469427914490796,0.027711708779855963,0.8926278422405619,1.0012577406575973,0.9993897861618445,955
5.95,0.9315757445673991,0.9340243233936496,0.03377161470395868,0.8678319585738906,1.0002166882134087,0.9999299624080142,931
6.050000000000001,1.0056315703715877,1.007062864696104,0.0382547128097685,0.9320836275889577,1.0820421018032502,0.9999322585656641,1005
6.15,1.0706831323449413,1.0700074072137187,0.030383818043180796,1.0104551238490842,1.1295596905783531,0.9994478671934357,1070
