quartile,gamma_min,gamma_max,median_log_gamma_over_2pi,observed_pairs_u_lt_0_5,gue_expected_pairs_u_lt_0_5,deficit_fraction
Q1,14.134725141735,3031.289217468062,5.603603685524626,205,282.84627694207927,0.27522468311654846
Q2,3032.756029360225,5447.8619983013,6.520736539050956,224,282.87409076153335,0.2081282545284962
Q3,5448.908413286428,7708.220972632061,6.955810089023261,215,282.88139027482123,0.23996414260009818
Q4,7709.242640641287,9877.7826540055,7.2449743170216045,234,282.8132442346183,0.17259886242853414
