u_center,empirical_full,block_mean,block_se,block_ci95_low,block_ci95_high,gue_theory,pair_count_full,gue_bin_average,gue_expected_count_edgeweighted,observed_to_gue_expected_ratio,naive_count_z_diagnostic,residual_vs_gue_bin_average
0.05,0.00500014000969,0.005000435747598,0.0019869720010852,0.0011059706254708,0.0088949008697251,0.0081976598890978,5,0.010880075773905361,10.879743989186547,0.45956963738940315,-1.7825802018797257,-0.005879935764215361
0.15,0.0370014061161114,0.0370110461528783,0.0074422003009664,0.0224243335629841,0.0515977587427725,0.0718647521654609,37,0.07413404796904367,74.13115355394271,0.49911539516347014,-4.312588917922865,-0.037132641852932274
0.25,0.1210058085491379,0.121041977589325,0.0098942999928045,0.101649149603428,0.1404348055752219,0.1894305308612979,121,0.19095854114451258,190.9492591651866,0.6336761950740285,-5.0620231893131455,-0.06995273259537468
0.35,0.282016357731075,0.2821516862954215,0.0152236744534087,0.2523132843667403,0.3119900882241027,0.3433621178280764,282,0.34397032721535326,343.950238947669,0.8198860418378877,-3.34037464155644,-0.06195396948427828
0.45,0.4330294474375236,0.4333355279166359,0.0231296844793211,0.3880013463371665,0.4786697094961054,0.5118929491750097,433,0.5115819583831043,511.54702923555334,0.8464519882894588,-3.472857636714896,-0.07855251094558069
0.55,0.6420500823809703,0.6425610148980782,0.0218669631594872,0.5997017671054832,0.6854202626906731,0.6732506519270727,642,0.6721885543830427,672.1359952771292,0.9551638426019666,-1.1624036422825559,-0.030138472002072425
0.6500000000000001,0.8050708497723995,0.8039064159644814,0.0304654285965568,0.74419417591523,0.8636186560137329,0.8096138684826968,805,0.8080880987057939,808.0168839361029,0.9962663107713706,-0.10613249764446461,-0.0030172489333943897
0.75,1.032101151005406,1.0303859810314913,0.0331887843609962,0.9653359636839384,1.095435998379044,0.9099367256512552,1032,0.9082828445338806,908.1937611404556,1.1363213932499117,4.108216033068908,0.12381830647152525
0.8500000000000001,1.0061086652435416,1.006594450566055,0.0324071932440144,0.9430763518077864,1.070112549324323,0.9710961341504816,1006,0.9696220624379863,969.5173024215932,1.0376297539892096,1.171680389329013,0.03648660280555527
0.95,1.035122150639307,1.0337782302503955,0.0326158919624196,0.9698510820040532,1.0977053784967383,0.9972526250966456,1035,0.9961768215519744,996.0592568967605,1.0390948056891314,1.2338479586284248,0.0389453290873325
1.05,1.0071289191027084,1.0089194989248598,0.0267821020524109,0.9564265789021344,1.061412418947585,0.9977510151017892,1007,0.9971682598039076,997.0406225602487,1.009988938478933,0.31541022262150564,0.009960659298800856
1.15,0.9381294685221028,0.9360520409575612,0.0320135231094223,0.8733055356630934,0.998798546252029,0.984209419223987,938,0.9840897678865965,983.9539702496853,0.953296626022024,-1.464993330477595,-0.04596029936449375
1.25,0.949140480037184,0.9481686645987638,0.0282648183125538,0.8927696207061583,1.0035677084913694,0.967577221234452,949,0.9677947309947521,967.6515025133131,0.9807249795356398,-0.599589937069641,-0.01865425095756812
1.35,0.9221457065596824,0.9223488693402332,0.0289568153456741,0.8655935112627119,0.9791042274177544,0.9558638460542878,922,0.9562443325964874,956.0932444650178,0.9643410884216688,-1.1026005576801148,-0.034098626036805024
1.4500000000000002,0.9621616515422212,0.9626394518062524,0.0355817127046983,0.8928992949050436,1.0323796087074613,0.9529885004556192,962,0.9533617580525251,953.2015835039156,1.0092303838436167,0.28497852809443147,0.00879989348969612
1.55,0.9651718095143204,0.9658784700296807,0.0343249724452162,0.898601524037057,1.0331554160223049,0.9588588229793712,965,0.9591011977685195,958.9304611285066,1.0063294880260145,0.19600273878327898,0.0060706117458008135
1.65,1.0021884212392156,1.0021773985644686,0.0253833140345844,0.9524261030566832,1.051928694072254,0.9704543101685728,1002,0.9705117715364148,970.3292950441091,1.0326391309812524,1.016712490000943,0.03167664970280082
1.75,1.0071994358973406,1.005335032331976,0.0204686257021134,0.9652165259558334,1.0454535387081183,0.9834577659359448,1007,0.9833461401644015,983.151417299686,1.0242572835482617,0.7605930796330498,0.02385329573293915
1.85,1.0432170004807415,1.0436760432517609,0.0274348184040498,0.9899037991798232,1.0974482873236986,0.993898307355361,1043,0.9936840682034461,993.4773643209137,1.0498477745519015,1.5711757312748476,0.04953293227729538
1.95,0.969211299126478,0.9705978789427414,0.0251571577739172,0.9212898497058636,1.0199059081796191,0.9993479274555483,969,0.9991179420578019,998.9001207169918,0.9700669565486387,-0.9460452487184013,-0.029906642931323946
2.05,0.9882253271885898,0.9879186763668668,0.0315392869462412,0.926101673952234,1.0497356787814995,0.9994099926590656,988,0.9992406350449042,999.0127980924483,0.9889763193089453,-0.3484272803415467,-0.011015307856314438
2.1500000000000004,0.9592283083227428,0.958986612491306,0.0294438511831306,0.9012766641723698,1.016696560810242,0.9954823054459108,959,0.9954171041495948,995.1801866776432,0.963644587018529,-1.1468851853661877,-0.03618879582685208
2.25,0.9492354227579736,0.9491423397347868,0.029949238820036,0.8904418316475162,1.0078428478220574,0.9899929695168062,949,0.9900341693999467,989.7886324722847,0.9587905628190503,-1.2964862465770546,-0.04079874664197314
2.3500000000000005,0.989255241281271,0.9885038188464008,0.0308628009525475,0.9280127289794076,1.048994908713394,0.9854344697933796,989,0.98554896777027,985.2946855865231,1.0037606154459986,0.11804347764955989,0.003706273511000946
2.45,1.0052694263955724,1.0077647336437978,0.0309571148259001,0.9470887885850334,1.0684406787025622,0.9835332481812478,1005,0.9836689151281006,983.4052782229504,1.0219591273864952,0.688622717007038,0.021600511267471756
2.55,0.9682691930256097,0.9657758357543428,0.0244634455301578,0.9178274825152336,1.0137241889934523,0.984799434403374,968,0.984905161123619,984.6313408262163,0.9831090681998191,-0.5300177767218596,-0.01663596809800938
2.6500000000000004,1.0182932839387449,1.0202156228085104,0.0217397543519374,0.977605704278713,1.062825541338308,0.9885456546007746,1018,0.9885881806301873,988.3034484717589,1.0300480096210953,0.9446281099109546,0.02970510330855758
2.75,1.0243052590846973,1.0225121953426903,0.0372873448809842,0.9494289993759611,1.0955953913094194,0.9933010787674488,1024,0.9932735949609561,992.977579918973,1.0312418132175336,0.9844778584241021,0.031031664123741143
2.8500000000000005,1.004309343623058,1.0005434903348136,0.0299477868068713,0.9418458281933456,1.0592411524762817,0.9974289882331452,1004,0.9973497911610998,997.0425884191105,1.0069780485424609,0.22033872955367317,0.006959552461958118
2.95,0.9623060294986804,0.9645301979701164,0.029003506013232,0.9076833261841816,1.0213770697560511,0.9997150812007723,962,0.9996180044904004,999.3001081977749,0.9626737674780751,-1.1799459782901516,-0.03731197499172001
3.05,1.003329109360818,1.0049984700256391,0.0309119561328512,0.9444110360052508,1.0655859040460276,0.9997334581187556,1003,0.9996542907833562,999.3263876768605,1.003676088581709,0.11620896830588935,0.0036748185774618802
3.1500000000000004,0.9833323839427142,0.9820632167991746,0.0248301176257356,0.9333961862527328,1.0307302473456166,0.9978953849255452,983,0.9978593113900631,997.5220191124,0.9854419062094271,-0.45979660314840554,-0.014526927447348958
3.25,0.9933457026170908,0.9882293515049962,0.0334450101078559,0.9226771316935984,1.053781571316394,0.995203730951842,993,0.995217902100228,994.871550164972,0.9981188022065144,-0.05933595908673639,-0.0018721994831372157
3.3500000000000005,0.9473391653972528,0.9502069056379372,0.0299662134493274,0.8914731272772553,1.008940683998619,0.9928324223153432,947,0.992885581077311,992.5301107404352,0.9541272247081054,-1.445196366938093,-0.04554641568005813
3.45,1.009371468398595,1.007824483539318,0.021199507261994,0.9662734493058096,1.0493755177728263,0.9916957212525048,1009,0.9917642145144253,991.3992262155242,1.0177534673409656,0.5589944208651934,0.017607253884169727
3.55,0.997377028519554,1.000973282501988,0.0164005909485872,0.968828124242757,1.0331184407612188,0.9921569785525046,997,0.9922143940327595,991.8393160852527,1.0052031451375776,0.16386515010090683,0.005162634486794548
3.65,0.9803804077895688,0.9830427368802568,0.0269113739512382,0.9302964439358298,1.0357890298246837,0.9939622337724856,980,0.9939889569046323,993.6032668493862,0.9863091564779968,-0.4315555558940236,-0.013608549115063484
3.75,1.0274089304690888,1.0245206919242276,0.0388978658453243,0.9482808748673918,1.1007605089810633,0.9963974690260502,1027,0.9963868651169633,995.9902800569686,1.0311345608124385,0.9825853710202497,0.031022065352125483
3.850000000000001,1.0494281894481792,1.0499232186386953,0.0244046134342974,1.0020901763074723,1.0977562609699183,0.998591125446026,1049,0.9985505462047051,998.1431144401405,1.0509514966582574,1.6097311684416635,0.0508776432434741
3.95,0.9774085784994772,0.9775526650192968,0.0227665701445014,0.9329301875360738,1.0221751425025196,0.9998410827847924,977,0.9997878622748277,999.3699282066466,0.9776159682463239,-0.7076222037959466,-0.02237928377535059
4.050000000000001,0.9424033700873388,0.9405112209468304,0.0274330872989886,0.8867423698408128,0.9942800720528482,0.9998488336625344,942,0.9998031606553274,999.3752226366674,0.9425889082127797,-1.8149309003667096,-0.05739979056798861
4.15,0.9574193719886168,0.9547837441545314,0.0322282948215755,0.8916162863042434,1.0179512020048194,0.9987874557656392,957,0.9987649185613515,998.3274374435787,0.9586033240262273,-1.3079826209388976,-0.041345546572734704
4.25,0.9864419495058832,0.990284855196381,0.0293623633227102,0.9327346230838688,1.047835087308893,0.9971952613524612,986,0.9972017171265575,996.7549483328511,0.9892100376819403,-0.3406544983471421,-0.010759767620674321
