zero_index,official_zeros1_text,official_zeros1_float,frozen_experiment1_gamma,frozen_minus_official,abs_difference,within_odlyzko_3e_9
168,347.272677584,347.272677584,347.27267758442,4.200160219625104e-10,4.200160219625104e-10,True
169,349.316260871,349.316260871,349.316260870696,-3.0399860406760126e-10,3.0399860406760126e-10,True
170,350.408419349,350.408419349,350.408419349192,1.9201706891180947e-10,1.9201706891180947e-10,True
171,351.878649025,351.878649025,351.878649025359,3.589661901060026e-10,3.589661901060026e-10,True
172,353.488900489,353.488900489,353.488900488719,-2.80977019428974e-10,2.80977019428974e-10,True
173,356.017574977,356.017574977,356.017574977265,2.6500401872908697e-10,2.6500401872908697e-10,True
174,357.151302252,357.151302252,357.151302252039,3.89945853385143e-11,3.89945853385143e-11,True
175,357.952685102,357.952685102,357.952685101633,-3.6698111216537654e-10,3.6698111216537654e-10,True
176,359.743754953,359.743754953,359.743754953114,1.1397105481592007e-10,1.1397105481592007e-10,True
177,361.289361696,361.289361696,361.289361695805,-1.950297701114323e-10,1.950297701114323e-10,True
178,363.331330579,363.331330579,363.331330578975,-2.5011104298755527e-11,2.5011104298755527e-11,True
179,364.736024114,364.736024114,364.736024114089,8.901679393602535e-11,8.901679393602535e-11,True
180,366.212710288,366.212710288,366.212710288332,3.320224095659796e-10,3.320224095659796e-10,True
181,367.993575482,367.993575482,367.99357548174,-2.6000179786933586e-10,2.6000179786933586e-10,True
182,368.968438096,368.968438096,368.968438095734,-2.660272002685815e-10,2.660272002685815e-10,True
183,370.050919212,370.050919212,370.050919212106,1.0601297617540695e-10,1.0601297617540695e-10,True
184,373.061928372,373.061928372,373.061928372113,1.1300471669528633e-10,1.1300471669528633e-10,True
185,373.864873911,373.864873911,373.864873910909,-9.100631359615363e-11,9.100631359615363e-11,True
186,375.825912767,375.825912767,375.825912766739,-2.609681359899696e-10,2.609681359899696e-10,True
187,376.324092231,376.324092231,376.324092230668,-3.320224095659796e-10,3.320224095659796e-10,True
188,378.436680250,378.43668025,378.436680249965,-3.501554601825774e-11,3.501554601825774e-11,True
189,379.872975347,379.872975347,379.872975346532,-4.680487108998932e-10,4.680487108998932e-10,True
190,381.484468617,381.484468617,381.484468617187,1.8701484805205837e-10,1.8701484805205837e-10,True
191,383.443529450,383.44352945,383.443529449537,-4.630464900401421e-10,4.630464900401421e-10,True
192,384.956116815,384.956116815,384.956116814864,-1.3596945791505277e-10,1.3596945791505277e-10,True
193,385.861300846,385.861300846,385.861300845974,-2.603428583825007e-11,2.603428583825007e-11,True
194,387.222890222,387.222890222,387.222890222388,3.880131771438755e-10,3.880131771438755e-10,True
195,388.846128354,388.846128354,388.846128354231,2.3101165425032377e-10,2.3101165425032377e-10,True
196,391.456083564,391.456083564,391.456083563638,-3.6197889130562544e-10,3.6197889130562544e-10,True
197,392.245083340,392.24508334,392.245083339519,-4.810090104001574e-10,4.810090104001574e-10,True
198,393.427743844,393.427743844,393.427743844434,4.339995030022692e-10,4.339995030022692e-10,True
199,395.582870011,395.582870011,395.582870010994,-6.0254023992456496e-12,6.0254023992456496e-12,True
200,396.381854223,396.381854223,396.381854222592,-4.0802206058287993e-10,4.0802206058287993e-10,True
201,397.918736210,397.91873621,397.918736209614,-3.8602365748374723e-10,3.8602365748374723e-10,True
202,399.985119876,399.985119876,399.985119876195,1.949729266925715e-10,1.949729266925715e-10,True
203,401.839228601,401.839228601,401.839228600533,-4.670255293603987e-10,4.670255293603987e-10,True
204,402.861917764,402.861917764,402.861917763886,-1.1397105481592007e-10,1.1397105481592007e-10,True
205,404.236441800,404.2364418,404.236441800208,2.0799006961169653e-10,2.0799006961169653e-10,True
206,405.134387460,405.13438746,405.13438745991,-9.00399754755199e-11,9.00399754755199e-11,True
207,407.581460387,407.581460387,407.581460386896,-1.0396661309641786e-10,1.0396661309641786e-10,True
208,408.947245502,408.947245502,408.947245502352,3.5203129300498404e-10,3.5203129300498404e-10,True
209,410.513869193,410.513869193,410.513869193367,3.6698111216537654e-10,3.6698111216537654e-10,True
210,411.972267804,411.972267804,411.972267804279,2.7898749976884574e-10,2.7898749976884574e-10,True
211,413.262736070,413.26273607,413.262736070184,1.8400214685243554e-10,1.8400214685243554e-10,True
212,415.018809755,415.018809755,415.018809755155,1.5501200323342346e-10,1.5501200323342346e-10,True
213,415.455214996,415.455214996,415.455214996295,2.950173438875936e-10,2.950173438875936e-10,True
214,418.387705790,418.38770579,418.387705789535,-4.6497916628140956e-10,4.6497916628140956e-10,True
215,419.861364818,419.861364818,419.861364818152,1.5199930203380063e-10,1.5199930203380063e-10,True
216,420.643827625,420.643827625,420.643827625041,4.1040948417503387e-11,4.1040948417503387e-11,True
217,422.076710059,422.076710059,422.076710058827,-1.729745235934388e-10,1.729745235934388e-10,True
218,423.716579627,423.716579627,423.716579627482,4.82032191939652e-10,4.82032191939652e-10,True
219,425.069882494,425.069882494,425.069882494461,4.61000126961153e-10,4.61000126961153e-10,True
220,427.208825084,427.208825084,427.208825084074,7.401013135677204e-11,7.401013135677204e-11,True
221,428.127914077,428.127914077,428.127914076617,-3.830109562841244e-10,3.830109562841244e-10,True
222,430.328745431,430.328745431,430.328745430939,-6.0992988437647e-11,6.0992988437647e-11,True
223,431.301306931,431.301306931,431.301306930704,-2.9598368200822733e-10,2.9598368200822733e-10,True
224,432.138641735,432.138641735,432.138641734589,-4.1103476178250276e-10,4.1103476178250276e-10,True
225,433.889218481,433.889218481,433.889218480927,-7.298694981727749e-11,7.298694981727749e-11,True
226,436.161006433,436.161006433,436.161006432647,-3.5299763112561777e-10,3.5299763112561777e-10,True
227,437.581698168,437.581698168,437.581698167669,-3.3099922802648507e-10,3.3099922802648507e-10,True
228,438.621738656,438.621738656,438.621738656271,2.710294211283326e-10,2.710294211283326e-10,True
229,439.918442214,439.918442214,439.918442214371,3.710169949044939e-10,3.710169949044939e-10,True
230,441.683199201,441.683199201,441.683199201189,1.8900436771218665e-10,1.8900436771218665e-10,True
231,442.904546303,442.904546303,442.904546302609,-3.9102587834349833e-10,3.9102587834349833e-10,True
232,444.319336278,444.319336278,444.319336277559,-4.409912435221486e-10,4.409912435221486e-10,True
233,446.860622696,446.860622696,446.86062269643,4.3002046368201263e-10,4.3002046368201263e-10,True
234,447.441704194,447.441704194,447.441704194493,4.930029717797879e-10,4.930029717797879e-10,True
235,449.148545685,449.148545685,449.148545685023,2.3021584638627246e-11,2.3021584638627246e-11,True
236,450.126945780,450.12694578,450.126945780313,3.1297986424760893e-10,3.1297986424760893e-10,True
237,451.403308445,451.403308445,451.403308445389,3.8897951526450925e-10,3.8897951526450925e-10,True
238,453.986737807,453.986737807,453.986737806678,-3.220179678464774e-10,3.220179678464774e-10,True
239,454.974683769,454.974683769,454.974683768617,-3.830109562841244e-10,3.830109562841244e-10,True
240,456.328426689,456.328426689,456.328426689246,2.459614734107163e-10,2.459614734107163e-10,True
241,457.903893064,457.903893064,457.903893064103,1.0300027497578412e-10,1.0300027497578412e-10,True
242,459.513415281,459.513415281,459.513415281106,1.0601297617540695e-10,1.0601297617540695e-10,True
243,460.087944422,460.087944422,460.087944422176,1.7598722479306161e-10,1.7598722479306161e-10,True
244,462.065367275,462.065367275,462.065367274882,-1.1800693755503744e-10,1.1800693755503744e-10,True
245,464.057286911,464.057286911,464.057286910548,-4.5201886678114533e-10,4.5201886678114533e-10,True
246,465.671539211,465.671539211,465.671539211371,3.710169949044939e-10,3.710169949044939e-10,True
247,466.570286931,466.570286931,466.570286930826,-1.7399770513293333e-10,1.7399770513293333e-10,True
248,467.439046210,467.43904621,467.439046210262,2.6199131752946414e-10,2.6199131752946414e-10,True
249,469.536004559,469.536004559,469.536004559112,1.1198153515579179e-10,1.1198153515579179e-10,True
250,470.773655478,470.773655478,470.773655478102,1.0197709343628958e-10,1.0197709343628958e-10,True
251,472.799174662,472.799174662,472.799174661909,-9.100631359615363e-11,9.100631359615363e-11,True
252,473.835232345,473.835232345,473.83523234514,1.4000534065417014e-10,1.4000534065417014e-10,True
253,475.600339369,475.600339369,475.600339369375,3.7499603422475047e-10,3.7499603422475047e-10,True
254,476.769015237,476.769015237,476.769015237484,4.839648681809194e-10,4.839648681809194e-10,True
255,478.075263767,478.075263767,478.07526376667,-3.3003288990585133e-10,3.3003288990585133e-10,True
256,478.942181535,478.942181535,478.942181534635,-3.6499159250524826e-10,3.6499159250524826e-10,True
257,481.830339376,481.830339376,481.830339376287,2.8700242182821967e-10,2.8700242182821967e-10,True
258,482.834782791,482.834782791,482.834782790982,-1.801936377887614e-11,1.801936377887614e-11,True
259,483.851427212,483.851427212,483.851427212482,4.82032191939652e-10,4.82032191939652e-10,True
260,485.539148129,485.539148129,485.539148129356,3.560103323252406e-10,3.560103323252406e-10,True
261,486.528718262,486.528718262,486.528718261651,-3.489617483865004e-10,3.489617483865004e-10,True
262,488.380567090,488.38056709,488.380567090018,1.801936377887614e-11,1.801936377887614e-11,True
263,489.661761578,489.661761578,489.661761577956,-4.3996806198265404e-11,4.3996806198265404e-11,True
264,491.398821594,491.398821594,491.398821593663,-3.370246304257307e-10,3.370246304257307e-10,True
265,493.314441582,493.314441582,493.314441581785,-2.149818101315759e-10,2.149818101315759e-10,True
266,493.957997805,493.957997805,493.95799780537,3.6999381336499937e-10,3.6999381336499937e-10,True
267,495.358828822,495.358828822,495.358828822131,1.3096723705530167e-10,1.3096723705530167e-10,True
268,496.429696216,496.429696216,496.429696215759,-2.41016095969826e-10,2.41016095969826e-10,True
269,498.580782430,498.58078243,498.580782429687,-3.1297986424760893e-10,3.1297986424760893e-10,True
270,500.309084942,500.309084942,500.30908494169,-3.100240064668469e-10,3.100240064668469e-10,True
271,501.604446965,501.604446965,501.604446965145,1.4495071809506044e-10,1.4495071809506044e-10,True
272,502.276270327,502.276270327,502.276270327118,1.1800693755503744e-10,1.1800693755503744e-10,True
273,504.499773313,504.499773313,504.499773313428,4.2803094402188435e-10,4.2803094402188435e-10,True
274,505.415231742,505.415231742,505.415231742244,2.43971953750588e-10,2.43971953750588e-10,True
275,506.464152710,506.46415271,506.464152709524,-4.760067895404063e-10,4.760067895404063e-10,True
276,508.800700336,508.800700336,508.800700336467,4.670255293603987e-10,4.670255293603987e-10,True
277,510.264227944,510.264227944,510.264227943673,-3.270201887062285e-10,3.270201887062285e-10,True
278,511.562289700,511.5622897,511.562289700375,3.7499603422475047e-10,3.7499603422475047e-10,True
279,512.623144531,512.623144531,512.623144531407,4.069988790433854e-10,4.069988790433854e-10,True
280,513.668985555,513.668985555,513.668985555474,4.740741132991388e-10,4.740741132991388e-10,True
281,515.435057167,515.435057167,515.435057167299,2.9899638320785016e-10,2.9899638320785016e-10,True
282,517.589668572,517.589668572,517.589668572468,4.679350240621716e-10,4.679350240621716e-10,True
283,518.234223148,518.234223148,518.23422314755,-4.4997250370215625e-10,4.4997250370215625e-10,True
284,520.106310412,520.106310412,520.106310411723,-2.7694113668985665e-10,2.7694113668985665e-10,True
285,521.525193449,521.525193449,521.525193449492,4.920366336591542e-10,4.920366336591542e-10,True
286,522.456696178,522.456696178,522.45669617773,-2.7000623958883807e-10,2.7000623958883807e-10,True
287,523.960530892,523.960530892,523.960530892016,1.602984411874786e-11,1.602984411874786e-11,True
288,525.077385687,525.077385687,525.07738568728,2.800106813083403e-10,2.800106813083403e-10,True
289,527.903641601,527.903641601,527.903641601272,2.7205260266782716e-10,2.7205260266782716e-10,True
290,528.406213852,528.406213852,528.406213852292,2.920614861068316e-10,2.920614861068316e-10,True
291,529.806226319,529.806226319,529.806226318707,-2.929709808086045e-10,2.929709808086045e-10,True
292,530.866917884,530.866917884,530.866917883961,-3.89945853385143e-11,3.89945853385143e-11,True
293,532.688183028,532.688183028,532.688183028294,2.9399416234809905e-10,2.9399416234809905e-10,True
294,533.779630754,533.779630754,533.779630753769,-2.3101165425032377e-10,2.3101165425032377e-10,True
295,535.664314076,535.664314076,535.664314075873,-1.269881977350451e-10,1.269881977350451e-10,True
296,537.069759083,537.069759083,537.069759083122,1.21985976875294e-10,1.21985976875294e-10,True
297,538.428526176,538.428526176,538.428526176248,2.480646799085662e-10,2.480646799085662e-10,True
298,540.213166376,540.213166376,540.213166376228,2.2794210963184014e-10,2.2794210963184014e-10,True
