u_center,empirical_pair_correlation,GUE_bin_average,pair_count,residual_empirical_minus_GUE
0.05,0.00999974908249614,0.010880075773905361,10,-0.0008803266914092205
0.15000000000000002,0.07299889838983273,0.07413404796904367,73,-0.001135149579210945
0.25,0.17399911448789437,0.19095854114451258,174,-0.016959426656618204
0.35000000000000003,0.3500017193575816,0.34397032721535326,350,0.0060313921422283645
0.45,0.5660084414658202,0.5115819583831043,566,0.054426483082715915
0.55,0.6640165443906446,0.6721885543830427,664,-0.008172009992398088
0.6500000000000001,0.8140284236194847,0.8080880987057939,814,0.0059403249136907865
0.75,0.8840397100331899,0.9082828445338806,884,-0.02424313450069071
0.8500000000000001,0.9530523420504092,0.9696220624379863,953,-0.01656972038757709
0.95,0.977063432949614,0.9961768215519744,977,-0.019113388602360448
1.05,0.9740729810936918,0.9971682598039076,974,-0.023095278710215772
1.1500000000000001,1.0470889242806714,0.9840897678865965,1047,0.06299915639407483
1.25,0.9470899042559712,0.9677947309947521,947,-0.020704826738780935
1.35,0.9410987480295678,0.9562443325964874,941,-0.015145584566919612
1.4500000000000002,0.94310839149314,0.9533617580525251,943,-0.010253366559385135
1.55,0.920114951479534,0.9591011977685195,920,-0.038986246288985504
1.6500000000000001,0.9911337368988105,0.9705117715364148,991,0.02062196536239569
1.75,1.0131468402899466,0.9833461401644015,1013,0.029800700125545143
1.85,0.9891532559004979,0.9936840682034461,989,-0.004530812302948273
1.9500000000000002,0.9821619958928599,0.9991179420578019,982,-0.016955946164942004
2.05,0.9681693712212628,0.9992406350449042,968,-0.03107126382364145
2.1500000000000004,1.0041857153741793,0.9954171041495948,1004,0.0087686112245845
2.25,1.022199270454103,0.9900341693999467,1022,0.032165101054156264
2.3500000000000005,0.9922033465857821,0.98554896777027,992,0.006654378815512119
2.45,1.0012152072728178,0.9836689151281006,1001,0.017546292144717146
2.55,1.0052261232750825,0.984905161123619,1005,0.020320962151463506
2.6500000000000004,0.9902326544421206,0.9885881806301873,990,0.0016444738119333335
2.75,0.9712379055746969,0.9932735949609561,971,-0.022035689386259216
2.8500000000000005,1.0332634330715755,0.9973497911610998,1033,0.035913641910475746
2.95,0.9602544233262958,0.9996180044904004,960,-0.039363581164104544
3.05,0.9592637550190091,0.9996542907833562,959,-0.040390535764347146
3.1500000000000004,0.9732773424671359,0.9978593113900631,973,-0.02458196892292719
3.25,0.9962938657278219,0.995217902100228,996,0.0010759636275938789
3.3500000000000005,1.0373163404964616,0.992885581077311,1037,0.044430759419150645
3.45,0.9713059245431691,0.9917642145144253,971,-0.020458289971256205
3.55,1.0263335211293805,0.9922143940327595,1026,0.034119127096621016
