dataset,description,height_min_approx,height_max_approx,mean_unfolded_spacing,density,observed_pairs_u_lt_0_5,GUE_expected_pairs_u_lt_0_5,D05_full_block,D1_full_block,S30_full_block,RMSE_vs_GUE_u_lt_1,RMSE_vs_GUE_u_lt_5,first_peak_u_0_5_to_1_2,first_peak_height,D05_1000_block_mean,D05_1000_block_sd,D05_1000_blocks_positive_count,D05_1000_block_min,D05_1000_block_max
first_10000,"zeros 1–10,000",14.134725141735,9877.7826540055,1.0000229545456236,1.0000770536866441,878,1131.4574779167647,0.22400972450456524,0.015929774706781696,-0.5071582398387116,0.05950797138609102,0.03710833454328424,0.95,1.0351221021316208,0.22387053371294813,0.056984220051805666,10,0.15129688985758227,0.35463663781262256
near_1e12,zeros 10^12+1 … 10^12+10^4,267653395648.84753,267653398216.04626,1.0001086977389935,0.9999913132062416,1113,1131.360477241197,0.016228671241873993,0.010375853824764136,-0.49410866665611847,0.01714930997644378,0.022747620277252596,1.05,1.019217779933285,0.01765009128208872,0.056629577596802864,7,-0.08651471181417936,0.12397206868925603
near_1e21,zeros 10^21+1 … 10^21+10^4,1.4417689750954697e+20,1.4417689750954697e+20,0.9999699077245582,1.0001301061916332,1173,1131.5174977437375,-0.036660946330020705,0.00376833558053169,-0.5075307178233751,0.0214894892435825,0.029957920414749744,1.1500000000000001,1.0470889242806714,-0.0371458828337072,0.10568499730202686,3,-0.16863242733431671,0.17767516024081353
