subsample,n_points,gamma_min,gamma_max,rho_start_theoretical,rho_end_theoretical,density_ratio_end_over_start,observed_pairs_u_lt_0_5,GUE_expected_pairs_u_lt_0_5,D05
full first 10000,10000,14.134725141735,9877.7826540055,0.1290360604827365,1.1714068440735692,9.078135520343862,878,1131.4574779167647,0.22400972450456524
last 5000,5000,5448.908413286428,9877.7826540055,1.0767299035914817,1.1714068440735692,1.0879300743541052,449,565.7184409917726,0.20631896104915914
last 2500,2500,7709.242640641287,9877.7826540055,1.1319574096295169,1.1714068440735692,1.0348506349341924,234,282.8132442559846,0.17259886249104361
last 1000,1000,9020.072493601838,9877.7826540055,1.1569498953489863,1.1714068440735692,1.0124957431455768,84,113.15381594634738,0.2576476604215526
