local_index,offset_text,absolute_gamma_decimal_string,theta_unfolded_relative_x
1,1.8475231278,267653395648.8475231278,0.0
2,2.3623669687,267653395649.3623669687,2.0054867727990895
3,2.6816309165,267653395649.6816309165,3.2491252772925785
4,2.8619899438,267653395649.8619899438,3.951683247050543
5,3.1576654790,267653395650.1576654790,5.1034370950666625
6,3.4342666839,267653395650.4342666839,6.180890127810793
7,3.5808912999,267653395650.5808912999,6.752041425728182
8,3.8344795320,267653395650.8344795320,7.739851330038489
9,4.0584820011,267653395651.0584820011,8.612414917609442
10,4.3570661334,267653395651.3570661334,9.775498711811505
11,4.7017825037,267653395651.7017825037,11.118282806879465
12,4.9049020916,267653395651.9049020916,11.909500676200624
13,5.0387527712,267653395652.0387527712,12.430893273611973
14,5.3029254562,267653395652.3029254562,13.45993311718169
15,5.7891109498,267653395652.7891109498,15.353786163646499
16,5.9646206541,267653395652.9646206541,16.037454418969183
17,6.1790233335,267653395653.1790233335,16.872623655602162
18,6.2277635657,267653395653.2277635657,17.06248295509275
19,6.5120490433,267653395653.5120490433,18.169868767515787
20,6.8376801741,267653395653.8376801741,19.438309552375657
21,7.0654230031,267653395654.0654230031,20.32544307690469
22,7.2776766711,267653395654.2776766711,21.152241204485087
23,7.6227135468,267653395654.6227135468,22.49627377392441
24,7.9651576868,267653395654.9651576868,23.830206781635287
25,8.2124889586,267653395655.2124889586,24.793643759395056
26,8.3331396490,267653395655.3331396490,25.263618039952693
27,8.6925822766,267653395655.6925822766,26.66376577013146
28,8.9452935573,267653395655.9452935573,27.648159659151347
29,9.0926840484,267653395656.0926840484,28.222294293492126
30,9.4212771810,267653395656.4212771810,29.502273053480117
31,9.5861648860,267653395656.5861648860,30.144565113917334
32,9.9792624393,267653395656.9792624393,31.675809893277304
33,10.2028267543,267653395657.2028267543,32.54666672594168
34,10.4897152162,267653395657.4897152162,33.66419202177522
35,10.7201572164,267653395657.7201572164,34.56183970945307
36,10.9850205535,267653395657.9850205535,35.59356987102134
37,11.2907452957,267653395658.2907452957,36.78446869876792
38,11.4283819123,267653395658.4283819123,37.3206087709925
39,11.7010708085,267653395658.7010708085,38.38282206942311
40,12.0244795760,267653395659.0244795760,39.64260601535838
41,12.2530576750,267653395659.2530576750,40.53299319236222
42,12.5285858972,267653395659.5285858972,41.6062666031694
43,12.7852513510,267653395659.7852513510,42.60606330216728
44,13.0717265971,267653395660.0717265971,43.72197898600752
45,13.2454651882,267653395660.2454651882,44.39874817055734
46,13.5449705998,267653395660.5449705998,45.56542065186075
47,13.8589005780,267653395660.8589005780,46.788281583373006
48,14.1944932078,267653395661.1944932078,48.09552569634028
49,14.4496901298,267653395661.4496901298,49.08960197903666
50,14.8365694081,267653395661.8365694081,50.59662452386476
51,14.9245912939,267653395661.9245912939,50.93949883577357
52,15.2940430070,267653395662.2940430070,52.37863525919132
53,15.3534283739,267653395662.3534283739,52.609960873590865
54,15.5503070365,267653395662.5503070365,53.37686827798219
55,15.7354269947,267653395662.7354269947,54.097971645758705
56,16.1145112371,267653395663.1145112371,55.57462995166827
57,16.3481586183,267653395663.3481586183,56.48476365682756
58,16.6382412160,267653395663.6382412160,57.61473116637542
59,16.8293830613,267653395663.8293830613,58.35929177296306
60,17.0132230984,267653395664.0132230984,59.07540942539777
61,17.4888341344,267653395664.4888341344,60.928071467600866
62,17.6294961974,267653395664.6294961974,61.47599665262136
63,17.8697926525,267653395664.8697926525,62.41203069628843
64,18.0357809186,267653395665.0357809186,63.0586098056399
65,18.3820907254,267653395665.3820907254,64.40760086206514
66,18.6270881377,267653395665.6270881377,65.36194668638338
67,18.8613069986,267653395665.8613069986,66.2743064936894
68,19.1659138111,267653395666.1659138111,67.4608506160915
69,19.3938394759,267653395666.3938394759,68.34869634643951
70,19.6457567024,267653395666.6457567024,69.32999713213826
71,19.8585564689,267653395666.8585564689,70.1589224937112
