local_index,offset_text,absolute_gamma_decimal_string,theta_unfolded_relative_x
1,538.49806962,144176897509546973538.49806962,0.0
2,538.69355122,144176897509546973538.69355122,1.3869573789296799
3,538.75465657,144176897509546973538.75465657,1.8205046594644243
4,538.85404881,144176897509546973538.85404881,2.5257004460568693
5,538.97012909,144176897509546973538.97012909,3.3492991934286085
6,539.21494632,144176897509546973539.21494632,5.086296760655522
7,539.35285980,144176897509546973539.35285980,6.064803785049996
8,539.56862583,144176897509546973539.56862583,7.5956807956272705
9,539.68588848,144176897509546973539.68588848,8.427668551458758
10,539.83553307,144176897509546973539.83553307,9.489408727093736
11,540.02924860,144176897509546973540.02924860,10.863835699999491
12,540.18683678,144176897509546973540.18683678,11.981936273573162
13,540.28742217,144176897509546973540.28742217,12.695597553576086
14,540.34476420,144176897509546973540.34476420,13.102443781718822
15,540.38204424,144176897509546973540.38204424,13.366948607568382
16,540.58516153,144176897509546973540.58516153,14.80808180963804
17,540.78543861,144176897509546973540.78543861,16.229063497615268
18,540.84291127,144176897509546973540.84291127,16.636836555917007
19,540.92679021,144176897509546973540.92679021,17.231964254737765
20,541.20534904,144176897509546973541.20534904,19.20836113676921
21,541.32890137,144176897509546973541.32890137,20.084974668566858
22,541.41339094,144176897509546973541.41339094,20.68443483542704
23,541.65737959,144176897509546973541.65737959,22.415553562164447
24,541.79556281,144176897509546973541.79556281,23.395974413146142
25,541.85031790,144176897509546973541.85031790,23.784466097833903
26,542.08248157,144176897509546973542.08248157,25.431685658272812
27,542.24277873,144176897509546973542.24277873,26.569006658732558
28,542.35507153,144176897509546973542.35507153,27.36573293660564
29,542.46334047,144176897509546973542.46334047,28.133909610225533
30,542.57541148,144176897509546973542.57541148,28.929062270545494
31,542.70254428,144176897509546973542.70254428,29.83107951955507
32,542.82136046,144176897509546973542.82136046,30.674089693337347
33,542.91010799,144176897509546973542.91010799,31.303760422425317
34,543.07959994,144176897509546973543.07959994,32.506319183565395
35,543.38073913,144176897509546973543.38073913,34.642925501783616
36,543.50159274,144176897509546973543.50159274,35.50039140220488
37,543.58736591,144176897509546973543.58736591,36.10895881236364
38,543.74503185,144176897509546973543.74503185,37.227611099273936
39,543.81807834,144176897509546973543.81807834,37.74588171047424
40,544.01975027,144176897509546973544.01975027,39.17675996927962
41,544.16925357,144176897509546973544.16925357,40.237497681214336
42,544.28632617,144176897509546973544.28632617,41.068137017297545
43,544.44386878,144176897509546973544.44386878,42.18591426812494
44,544.49836127,144176897509546973544.49836127,42.57254278508895
45,544.78528938,144176897509546973544.78528938,44.6083203692035
46,544.81148939,144176897509546973544.81148939,44.794211507794195
47,545.07065762,144176897509546973545.07065762,46.63303055256692
48,545.12786450,144176897509546973545.12786450,47.03891788079395
49,545.29541631,144176897509546973545.29541631,48.22771119552293
50,545.35569445,144176897509546973545.35569445,48.65538935582629
51,545.44097166,144176897509546973545.44097166,49.26043789064509
52,545.63730063,144176897509546973545.63730063,50.653407426597134
53,545.86593569,144176897509546973545.86593569,52.27559122061678
54,546.00667595,144176897509546973546.00667595,53.274154472193814
55,546.14653418,144176897509546973546.14653418,54.266459651313205
