zero_index,gamma,x_unfolded,unfolded_spacing_from_previous
1,14.134725141735,0.4492778727433573,
2,21.022039638772,1.5698956896187108,1.1206178168753536
3,25.010857580146,2.393332685918328,0.8234369962996171
4,30.42487612586,3.67084647533391,1.2775137894155821
5,32.935061587739,4.317069648518563,0.6462231731846533
6,37.586178158826,5.593378761769833,1.27630911325127
7,40.918719012148,6.564967037942235,0.971588276172402
8,43.327073280915,7.294228067167278,0.729261029225043
9,48.005150881167,8.770680390902253,1.476452323734975
10,49.773832477672,9.348203031688346,0.5775226407860927
11,52.970321477714,10.417088185688067,1.0688851539997213
12,56.446247697063,11.614219755867953,1.1971315701798861
13,59.347044002603,12.63945354371361,1.0252337878456572
14,60.83177852461,13.173009079658566,0.5335555359449557
15,65.112544048082,14.743160281627159,1.5701512019685921
16,67.079810529494,15.479946676293983,0.736786394666824
17,69.546401711174,16.416685956868104,0.9367392805741215
18,72.067157674482,17.38837998598008,0.9716940291119762
19,75.704690699084,18.815181952135333,1.426801966155253
20,77.144840068875,19.387835871884032,0.5726539197486993
21,79.337375020249,20.26785477909121,0.8800189072071767
22,82.910380854086,21.722502052462893,1.454647273371684
23,84.735492980517,22.475069144012977,0.7525670915500839
24,87.425274613125,23.595541760622538,1.120472616609561
25,88.809111207634,24.177158929408975,0.5816171687864369
26,92.491899270558,25.741588862783125,1.56442993337415
27,94.65134404052,26.669826433293984,0.9282375705108592
28,95.870634228245,27.197413725189215,0.5275872918952302
29,98.831194218194,28.488659725234797,1.2912460000455823
30,101.317851005731,29.584138584916364,1.0954788596815668
31,103.725538040478,30.654086665452933,1.0699480805365695
32,105.446623052326,31.42438087047827,0.770294205025337
33,107.168611184276,32.199553855062845,0.7751729845845752
34,111.02953554317,33.95349563198868,1.753941776925835
35,111.874659176993,34.34029547054487,0.38679983855619327
36,114.320220915453,35.465288105429856,1.1249926348849826
37,116.226680320858,36.34807101308948,0.8827829076596245
38,118.790782865976,37.543208621745705,1.1951376086562249
39,121.370125002421,38.75433708589338,1.2111284641476772
40,122.946829293553,39.498986107721414,0.7446490218280317
41,124.256818554346,40.12011985946528,0.6211337517438622
42,127.516683879596,41.67528226888676,1.5551624094214844
43,129.578704199956,42.66586698072678,0.9905847118400217
44,131.087688530933,43.394089931597776,0.7282229508709932
45,133.497737202997,44.562879619929475,1.1687896883316995
46,134.756509753374,45.17610140089769,0.6132217809682174
47,138.116042054533,46.821841555460935,1.6457401545632422
48,139.736208952122,47.620183958422786,0.7983424029618504
49,141.123707404021,48.30625613840769,0.6860721799849046
50,143.11184580762,49.2931040358672,0.9868478974595121
51,146.000982486766,50.7349978193611,1.4418937834938959
52,147.42276534256,51.4479251198038,0.7129273004427006
53,150.053520420785,52.77280901142758,1.3248838916237844
54,150.925257612241,53.21345328450103,0.44064427307344545
55,153.024693811199,54.27795294436851,1.0644996598674794
56,156.112909294238,55.852117657571696,1.5741647132031886
57,157.597591817594,56.61238185143537,0.7602641938636765
58,158.84998817142,57.25543058963267,0.6430487381972938
59,161.188964137596,58.46058733660548,1.2051567469728113
60,163.030709687182,59.41335159448125,0.9527642578757707
61,165.5370691879,60.71524357452371,1.3018919800424626
62,167.184439978175,61.574241612630374,0.8589980381066624
63,169.094515415568,62.573455936763764,0.9992143241333906
64,169.911976479412,63.00214444468544,0.42868850792167734
65,173.411536519592,64.84440356902775,1.8422591243423057
66,174.754191523366,65.55420795759011,0.709804388562361
67,176.441434297711,66.44850761186422,0.8942996542741071
68,178.3774077761,67.47780571113057,1.0292980992663558
69,179.916484020258,68.2984734609755,0.8206677498449295
70,182.207078484366,69.52374114890331,1.2252676879278113
71,184.874467848387,70.95633320752752,1.4325920586242091
72,185.598783677707,71.34640737788517,0.39007417035765
73,187.228922583502,72.22594787329992,0.8795404954147443
74,189.416158656017,73.40961513393488,1.1836672606349623
75,192.026656360714,74.82759703341624,1.4179818994813616
76,193.079726603846,75.40121161603308,0.5736145826168411
77,195.265396679529,76.59467295813641,1.1934613421033333
78,196.876481840958,77.47688380134491,0.8822108432084974
79,198.015309676252,78.10175906425629,0.6248752629113739
80,201.264751943704,79.8904396125806,1.788680548324308
81,202.49359451414,80.5690486910747,0.6786090784941052
82,204.189671803105,81.50762891781383,0.9385802267391341
83,205.394697202163,82.17583294814094,0.6682040303271037
84,207.906258887806,83.57213916952813,1.3963062213871922
85,209.576509716856,84.5033945339382,0.9312553644100774
86,211.690862595365,85.68529716113349,1.181902627195285
87,213.347919359713,86.61392669631553,0.92862953518204
88,214.547044783492,87.28720578263903,0.6732790863235039
89,216.169538508264,88.19989257526183,0.9126867926227931
90,219.067596349022,89.83492433526135,1.6350317599995208
91,220.714918839314,90.76703904317463,0.9321147079132857
92,221.430705554694,91.17266779874035,0.405628755565715
93,224.007000254604,92.63566627912562,1.4629984803852665
94,224.983324669583,93.19132599672172,0.5556597175961002
95,227.421444279679,94.58188169546717,1.3905556987454588
96,229.337413305525,95.67755568871861,1.095673993251438
97,231.250188700499,96.77394458116711,1.096388892448502
98,231.98723525318,97.19708750729112,0.42314292612400095
99,233.693404178909,98.17803743731622,0.9809499300251048
