dataset,mu2_histogram_reconstruction,difference_from_truncated_sine,experiment3_16_window_mu2_mean,window_mean_minus_histogram_reconstruction
Z0,1.3002153500787317,-0.03271362794903476,1.296465689259639,-0.0037496608190927816
Z12,1.331301110647575,-0.0016278673801914945,1.337000198457563,0.005699087809988068
Z21,1.3371805900300358,0.004251612002269312,1.3313640395899675,-0.0058165504400682355
