dataset,metric,difference_vs_CUE,cue_individual_window_sd,effect_in_cue_individual_window_sd,cue_16_window_mean_bootstrap_sd,effect_in_cue_16_window_mean_bootstrap_sd,bootstrap_two_sided_tail_descriptive,cue_reference_mean_se_64,two_sample_reference_sd,effect_in_two_sample_reference_sd
D0_first_10000,mu2,-0.0298421811682503,0.0222033583679232,-1.3440390716461508,0.0055413493708206,-5.385363594901974,4.999750012499375e-05,0.0027754197959904,0.006197540471305472,-4.8151651943894835
D0_first_10000,mu3,-0.1035609224803828,0.0761483523953964,-1.3599890112217805,0.0188388268149229,-5.497206566936991,4.999750012499375e-05,0.00951854404942455,0.02110696748904242,-4.906480409094578
D0_first_10000,mu4_raw,-0.2849172754334654,0.2033881284661892,-1.4008549937605104,0.0507312233971627,-5.616211405014132,4.999750012499375e-05,0.02542351605827365,0.05674515130068935,-5.020997722320007
D0_first_10000,mu4_gt2,-0.0797728718140257,0.0683226985288187,-1.1675895936747471,0.0168873620937165,-4.723820770308903,4.999750012499375e-05,0.008540337316102337,0.018924068271835813,-4.21541872858013
D1_near_1e12,mu2,0.010692328029674,0.0222033583679232,0.4815635478424299,0.0054979869050169,1.9447714616993967,0.0526473676316184,0.0027754197959904,0.006158799806107737,1.7361057943579075
D1_near_1e12,mu3,0.0346343120300296,0.0761483523953964,0.4548268076792097,0.018978480682597,1.8249254305055456,0.0669966501674916,0.00951854404942455,0.021231707652483892,1.6312541881659592
D1_near_1e12,mu4_raw,0.0894729910267835,0.2033881284661892,0.4399125539013811,0.0504898329523481,1.7720991691778296,0.0786960651967401,0.02542351605827365,0.05652944719631808,1.5827678398491594
D1_near_1e12,mu4_gt2,0.0181224527223059,0.0683226985288187,0.265247906077097,0.0169319949203676,1.070308183267071,0.2855857207139643,0.008540337316102337,0.01896390817991282,0.9556285840648493
D2_near_1e21,mu2,0.0050561691620785,0.0222033583679232,0.2277209185337957,0.0054946043393907,0.9202062332006092,0.3611319434028298,0.0027754197959904,0.006155780364050239,0.8213693249366938
D2_near_1e21,mu3,0.0136374140909005,0.0761483523953964,0.179090074333966,0.0187495876778888,0.7273447461984993,0.4704764761761912,0.00951854404942455,0.021027356441352178,0.6485558053356296
D2_near_1e21,mu4_raw,0.0260066295361109,0.2033881284661892,0.1278669985914849,0.0507923997441943,0.5120181300172496,0.6091195440227989,0.02542351605827365,0.05679985070877675,0.4578643994937884
D2_near_1e21,mu4_gt2,-0.0062671812653612,0.0683226985288187,-0.0917291237072219,0.0169781029924747,-0.3691331869136997,0.711814409279536,0.008540337316102337,0.019005087284616414,-0.32976335080734637
