dataset,role,m,n_locations,D_C_points_mean,D_C_points_sd_location,D_C_prediction_mean,D_C_prediction_sd_location,D_C_bridge_bias_mean,D_C_bridge_rmse,frob_rel_error_mean,frob_rel_error_maxabs,mu_min_min,mu_max_max,mean_spacing_mean,mean_spacing_sd
low_height_first_10000,primary,128,16,0.9114467148894541,0.005052246565975272,0.914656042215551,0.0025880070335148222,-0.0032093273260968974,0.0049299656576945105,-0.001683339194850688,0.006123097516169721,0.0006583508596038576,2.9050943135808573,1.0002819460936414,0.0028512397128725017
low_height_first_10000,primary,256,16,0.9171959186458241,0.004797203957323098,0.9185406867374803,0.001460580795640005,-0.0013447680916563315,0.004345672678295831,-0.0007064234747896768,0.006571295184865593,0.00035284819984856094,2.981580693969512,0.9994137546665023,0.0015925410171191011
low_height_first_10000,primary,512,16,0.9182093457897214,0.004609898814985153,0.9196789942892629,0.00068792778181253,-0.0014696484995416204,0.0045003186307100585,-0.0007712894859840379,0.008067203058672276,0.0002967935199174775,2.9816411621401633,0.9998502180823603,0.0007490261164973889
near_1e12,secondary_control,128,16,0.9474866483194938,0.01810205206999197,0.9414525853087923,0.0036387989942062477,0.006034063010701529,0.018505180263038764,0.003019623526656658,0.02029268785286428,9.420899605938256e-05,3.3870075977963907,0.999147928495744,0.0038760095384993095
near_1e12,secondary_control,256,16,0.943793855870652,0.012825876523007094,0.9437049955468665,0.0017132568385657169,8.886032378546682e-05,0.012560342958327983,4.9320559093581296e-06,0.015073154884787079,9.420899603145157e-05,3.387007597796397,1.0000396371419855,0.001821212828678693
near_1e12,secondary_control,512,16,0.9440691531464832,0.008898115601642184,0.9450670837434232,0.0013022896162433106,-0.000997930596940047,0.008802320333118781,-0.000532993278792049,0.008733769681892592,9.420899603129862e-05,3.3870075977964103,1.0002260554821978,0.0013806520719318773
near_1e21,secondary_control,128,16,0.9397071320733799,0.02240066882215106,0.945935250299443,0.004157035719336996,-0.006228118226063187,0.021133665860167933,-0.0033242440095216067,0.023096748021054,0.0011121782066838804,3.3418414259575453,1.0010258770366058,0.004426676039983006
near_1e21,secondary_control,256,16,0.9482917200468892,0.018192570407647227,0.9502721028472888,0.0017361833933200311,-0.0019803828003995133,0.01730570792875797,-0.001095798874269425,0.01736035366746731,0.00013696942258572438,3.4532098283597135,0.9996990209588621,0.0018305913013688298
near_1e21,secondary_control,512,16,0.9481459520755002,0.012246025153934035,0.9517817108405648,0.00118209722677712,-0.0036357587650646117,0.0127010653646514,-0.0019042644640794154,0.017560445892285254,0.0001369694191522663,3.453209828359833,0.9997322114486029,0.001243840692676932
