m,ordered_pair_tail_bound_decimal,log10_tail_bound
128,2.218094156421653897418692e-387,-386.6540200223228
256,8.907307242323177068374277e-387,-386.05025356718085
512,3.569909020256583123089612e-386,-385.4473428518161
