dataset,role,location_id,m,lambda,n_pos_res,n_neg_res,n_unres,p_pos_res,p_neg_res,p_unres,H_norm2_from_spectrum,epsilon_screen,min_abs_H_eigenvalue,trace_formula,trace_spectrum,trace_abs_error,frobH2_formula,frobH2_spectrum,frobH2_abs_error,npos_lower_bound_raw,b_pos_normalized,bound_slack_fraction
low_height_first_10000,primary,1,128,0.6,92,36,0,0.71875,0.28125,0.0,0.995702003340111,1e-10,0.010958425857387377,51.2,51.2,0.0,62.168324764643344,62.16832476464334,7.105427357601002e-15,42.166810991356776,0.3294282108699748,0.3893217891300252
low_height_first_10000,primary,1,128,0.65,88,40,0,0.6875,0.3125,0.0,0.995343836951787,1e-10,0.0023443566909508995,44.8,44.79999999999999,7.105427357601002e-15,64.60588114739392,64.60588114739392,0.0,31.06590242800148,0.24270236271876156,0.44479763728123844
low_height_first_10000,primary,1,128,0.7,86,42,0,0.671875,0.328125,0.0,0.994985670563463,1e-10,0.014714195872526203,38.400000000000006,38.4,7.105427357601002e-15,68.26244204076454,68.26244204076454,0.0,21.601336780764917,0.16876044359972592,0.5031145564002741
low_height_first_10000,primary,1,128,0.75,83,45,0,0.6484375,0.3515625,0.0,1.016772598696814,1.0167725986968139e-10,0.015916295250939294,32.0,31.999999999999993,7.105427357601002e-15,73.1380074447552,73.13800744475522,1.4210854715202004e-14,14.000928324079357,0.10938225253186998,0.53905524746813
low_height_first_10000,primary,1,128,0.8,81,47,0,0.6328125,0.3671875,0.0,1.1512241052766017,1.1512241052766017e-10,0.02189056882571072,25.599999999999994,25.599999999999987,7.105427357601002e-15,79.23257735936596,79.23257735936593,2.842170943040401e-14,8.271345219877926,0.0646198845302963,0.5681926154697037
low_height_first_10000,primary,1,128,0.85,80,48,0,0.625,0.375,0.0,1.285675611856389,1.285675611856389e-10,0.0008732131576405511,19.200000000000003,19.199999999999992,1.0658141036401503e-14,86.54615178459667,86.5461517845967,2.842170943040401e-14,4.2594614826723,0.033277042833377346,0.5917229571666227
low_height_first_10000,primary,1,128,0.9,79,49,0,0.6171875,0.3828125,0.0,1.4201271184361768,1.4201271184361768e-10,0.03052158880664113,12.799999999999997,12.79999999999999,7.105427357601002e-15,95.07873072044751,95.07873072044751,0.0,1.7232034836658237,0.013462527216139247,0.6037249727838607
low_height_first_10000,primary,1,128,0.95,77,51,0,0.6015625,0.3984375,0.0,1.554578625015964,1.5545786250159642e-10,0.008515257955040711,6.400000000000006,6.399999999999997,8.881784197001252e-15,104.83031416691836,104.83031416691837,1.4210854715202004e-14,0.39072667410669604,0.003052552141458563,0.5985099478585414
low_height_first_10000,primary,1,256,0.1,256,0,0,1.0,0.0,0.0,0.9993433782075594,1e-10,0.7302335733871921,230.4,230.39999999999998,2.842170943040401e-14,209.67855326396784,209.67855326396784,0.0,253.16924012333996,0.9889423442317967,0.011057655768203278
low_height_first_10000,primary,1,256,0.15,256,0,0,1.0,0.0,0.0,0.999015067311339,1e-10,0.5953503600807881,217.6,217.60000000000002,2.842170943040401e-14,190.17674484392762,190.17674484392762,0.0,248.97765517470881,0.9725689655262063,0.027431034473793692
