dataset,role,location_id,m,start_index_1based,end_index_1based,midpoint_index_1based,L,mean_spacing,rho2_finite,symmetry_max_abs_error,diagonal_max_abs_error,mu_min,mu_max,psd_tolerance,n_mu_below_negative_psd_tolerance,frobC2_points,frobC2_from_spectrum,frobC2_spectral_abs_error,D_C_points,frobC2_pair_prediction,D_C_pair_prediction,pair_prediction_abs_error_D,pair_prediction_rel_error_frob,n_crossings_lambda_0p10_0p95,crossing_min,crossing_max_finite
low_height_first_10000,primary,4,256,2027,2282,2154.5,255.1376762218979,1.0005399067525407,1.0028383978553401,0.0,0.0,0.004953679131808226,2.8351651048748017,1.6116047759594503e-11,0,489.5698686013425,489.5698686013425,0.0,0.912382299223994,490.88207729923886,0.9175081144501518,-0.005125815226157737,-0.002680329779373972,102,0.35271314474088067,201.87016021664957
low_height_first_10000,primary,4,512,1899,2410,2154.5,510.894441686464,0.9997934279578552,1.0023710280497435,0.0,0.0,0.002887987698266233,2.835165104874799,3.2232095519188974e-11,0,981.4729470614228,981.4729470614227,1.1368683772161603e-13,0.9169393497293414,982.9021001135942,0.9197306642843637,-0.0027913145550222396,-0.0014561308658077021,204,0.352713144740881,346.26186274974003
low_height_first_10000,primary,5,128,2723,2850,2786.5,126.66097918570813,0.9973305447693553,1.0132765881244699,0.0,0.0,0.00873509145418672,2.796653949772902,7.94856859378371e-12,0,245.2807679695013,245.28076796950137,5.684341886080802e-14,0.916255999761729,245.41921234404782,0.9173375964378736,-0.0010815966761446028,-0.000564432245106651,53,0.357570159898118,114.48077049275781
low_height_first_10000,primary,5,256,2659,2914,2786.5,254.46955046684343,0.9979198057523272,1.0081113411456115,0.0,0.0,0.0083833636654833,2.7966539501815117,1.5897137189890098e-11,0,491.1907440949691,491.19074409496915,5.684341886080802e-14,0.918713844120973,491.49670668773035,0.9199090104989467,-0.0011951663779736776,-0.0006228997521624823,104,0.3575701598458747,119.28386264779199
low_height_first_10000,primary,5,512,2531,3042,2786.5,511.5742439430496,1.0011237650548916,0.9997088090329408,0.0,0.0,0.004133782583472854,2.8298020026237185,3.2171124105658675e-11,0,980.9151841767514,980.915184176751,3.410605131648481e-13,0.9158499690952175,982.2773869351304,0.9185105213576765,-0.0026605522624589817,-0.0013887059557776637,208,0.3533816143577629,241.90919086989928
low_height_first_10000,primary,6,128,3356,3483,3419.5,127.0762815865478,1.0006006424137621,1.0066643619479942,0.0,0.0,0.004272643815794411,2.806146684747587,7.975548569298744e-12,0,244.64585577574698,244.64585577574707,8.526512829121202e-14,0.9112957482480233,245.038056451104,0.9143598160242501,-0.0030640677762268087,-0.001603136395314784,51,0.3563605585678605,234.04712471078528
low_height_first_10000,primary,6,256,3292,3547,3419.5,255.1486908008892,1.0005831011799577,1.0027518161504243,0.0,0.0,0.0033525624274796054,2.8073367125627593,1.5957861663552873e-11,0,490.62678984369535,490.6267898436954,5.684341886080802e-14,0.916510897826935,490.87197152995805,0.9174686387888986,-0.0009577409619636601,-0.0004997315502090853,103,0.3562094976085433,298.2793077329157
low_height_first_10000,primary,6,512,3164,3675,3419.5,510.9883420080405,0.9999771859257153,1.0020026661674213,0.0,0.0,0.003285189520746446,2.868093824271181,3.260645171702869e-11,0,981.5146115172072,981.5146115172072,0.0,0.9170207256195453,982.8157104080653,0.9195619343907526,-0.0025412087712073372,-0.001325603180626055,205,0.3486636286224397,304.39644157052606
low_height_first_10000,primary,7,128,3988,4115,4051.5,127.59814183044728,1.0047097781924983,0.9984469409298656,0.0,0.0,0.0006583508596038576,2.849027855412689,8.097424186566652e-12,0,244.61874088326692,244.618740883267,8.526512829121202e-14,0.9110839131505228,244.56259795558674,0.9106452965280214,0.00043861662250144207,0.00022951196411797502,53,0.3509969192123421,1518.9469040895901
low_height_first_10000,primary,7,256,3924,4179,4051.5,253.98358380777518,0.9960140541481379,1.011972828437052,0.0,0.0,0.0006583508596033299,2.849027855413894,1.6194848373140155e-11,0,492.31785485226186,492.3178548522619,5.684341886080802e-14,0.9231166205166479,491.94578688918386,0.9216632300358745,0.00145339048077342,0.000755747449357993,105,0.3509969192121937,1518.946904090808
low_height_first_10000,primary,7,512,3796,4307,4051.5,511.2602226294571,1.0005092419363153,1.000937249146252,0.0,0.0,0.0006583508596026372,2.8490278554138935,3.23896967462803e-11,0,981.8693792399051,981.8693792399052,1.1368683772161603e-13,0.9177136313279397,982.565754814492,0.9190737398720548,-0.0013601085441150573,-0.00070923443516081,210,0.3509969192121938,1518.9469040924062
low_height_first_10000,primary,8,128,4621,4748,4684.5,127.76648758897682,1.006035335346274,0.9958175570212543,0.0,0.0,0.003540824400717748,2.8568027372697573,8.119521729866384e-12,0,244.09046789076407,244.09046789076407,0.0,0.9069567803965943,244.41004380225436,0.9094534672051122,-0.0024966868085178895,-0.0013092519107845996,52,0.35004166964489075,282.4201052718947
low_height_first_10000,primary,8,256,4557,4812,4684.5,254.11266499724297,0.9965202548911489,1.010944989235869,0.0,0.0,0.00035284819984856094,2.856802737285447,1.6239043459821955e-11,0,493.12929898154823,493.1292989815483,5.684341886080802e-14,0.9262863241466728,491.8263364220927,0.9211966266487996,0.005089697497873136,0.0026422331062999293,103,0.3500416696429683,2834.0799256711252
low_height_first_10000,primary,8,512,4429,4940,4684.5,510.2305068978121,0.9984941426571666,1.004981385457673,0.0,0.0,0.00035284819984831184,2.8568027372854528,3.2478086919643974e-11,0,983.9173248328793,983.9173248328794,1.1368683772161603e-13,0.9217135250642174,983.5138358224708,0.9209254605907633,0.000788064473454142,0.0004100842623917149,205,0.3500416696429676,2834.079925673126
low_height_first_10000,primary,9,128,5253,5380,5316.5,126.7748110542152,0.9982268586946079,1.011457750727377,0.0,0.0,0.006836227130201749,2.7940901585306888,7.94128186081107e-12,0,245.37721885481906,245.3772188548191,2.842170943040401e-14,0.9170095223032739,245.31449308001015,0.9165194771875793,0.0004900451156946151,0.00025562998513738687,53,0.3578982578450024,146.27951660384466
low_height_first_10000,primary,9,256,5189,5444,5316.5,254.621967803806,0.9985175207992392,1.0069047865142207,0.0,0.0,0.004793529906041256,2.825745339098207,1.6062502590433534e-11,0,491.6571068402835,491.65710684028335,1.7053025658242404e-13,0.9205355735948575,491.3562102698525,0.9193601963666114,0.0011753772282461217,0.0006120049242545667,105,0.35388893194428295,208.61453242206878
low_height_first_10000,primary,9,512,5061,5572,5316.5,510.77735436764306,0.9995642942615324,1.002830634910253,0.0,0.0,0.0015405811892868681,2.8579812796235387,3.249148539479778e-11,0,982.141497557134,982.141497557134,0.0,0.9182451124162774,983.0098666272778,0.919941145756402,-0.0016960333401245808,-0.000884158822637743,208,0.3498973233763528,649.1056796966981
low_height_first_10000,primary,10,128,5886,6013,5949.5,127.34532152173779,1.0027190671002975,1.0024153354458842,0.0,0.0,0.0031332573246339703,2.824939267684479,8.028960302466655e-12,0,243.9681269887225,243.96812698872245,5.684341886080802e-14,0.9060009920993946,244.79245514113364,0.9124410557901066,-0.006440063690712039,-0.003378835434717445,51,0.35398991101839544,319.1566783034077
low_height_first_10000,primary,10,256,5822,6077,5949.5,255.17161150442098,1.000672986291847,1.0025716805569431,0.0,0.0,0.003133257324633323,2.824939267684491,1.605792060493338e-11,0,490.30270934596257,490.3027093459627,1.1368683772161603e-13,0.9152449583826663,490.85094479434355,0.9173865031029045,-0.0021415447202381976,-0.0011181570852673752,102,0.35398991101839394,319.15667830347365
low_height_first_10000,primary,10,512,5694,6205,5949.5,510.8927614169088,0.999790139759117,1.0023776214345723,0.0,0.0,0.001773001081103942,2.862613088759661,3.254414296815936e-11,0,983.8777660024436,983.8777660024436,0.0,0.9216362617235228,982.9036462755375,0.9197336841319093,0.0019025775916134968,0.000990082061579681,203,0.3493311771425209,564.0154485282995
low_height_first_10000,primary,11,128,6518,6645,6581.5,127.09853516515705,1.0007758674421814,1.006311880728304,0.0,0.0,0.0059139840743387745,2.836171841247145,8.060885196662029e-12,0,244.9613779198512,244.96137791985126,5.684341886080802e-14,0.9137607649988375,245.01770241551878,0.9142008001212405,-0.0004400351224029819,-0.00022993214745065026,52,0.35258794458669745,169.09074955732058
low_height_first_10000,primary,11,256,6454,6709,6581.5,255.03166751434765,1.000124186330775,1.003672268395946,0.0,0.0,0.005791606549700078,2.83617184124715,1.6121770393324083e-11,0,490.8694484458225,490.86944844582246,5.684341886080802e-14,0.9174587829914942,490.9793837387166,0.9178882177293617,-0.00042943473786749564,-0.00022396034880995958,103,0.35258794458669684,172.66366273651403
low_height_first_10000,primary,11,512,6326,6837,6581.5,511.10153216317667,1.0001986930786235,1.0015589019786293,0.0,0.0,0.0002967935199174775,2.910838508957674,3.3092402520170185e-11,0,983.6028552367736,983.6028552367735,1.1368683772161603e-13,0.9210993266343235,982.7116158901832,0.9193586247855141,0.0017407018488093673,0.0009060967461057809,205,0.34354362048002607,3369.3458006699298
low_height_first_10000,primary,12,128,7151,7278,7214.5,126.87109950217564,0.9989850354502019,1.009923047555322,0.0,0.0,0.0031089962159554403,2.817566569185287,8.008005833020455e-12,0,244.76069781140927,244.76069781140922,5.684341886080802e-14,0.9121929516516349,245.22605853687548,0.9158285823193397,-0.003635630667704781,-0.0019012886040420485,52,0.35491619290796556,321.6472232638872
low_height_first_10000,primary,12,256,7087,7342,7214.5,255.18683062845776,1.0007326691312068,1.0024520990900647,0.0,0.0,0.0014098997447884575,2.981580693969512,1.694832402546076e-11,0,491.75455281917914,491.7545528191791,5.684341886080802e-14,0.9209162219499185,490.8369853262375,0.9173319739306152,0.003584248019303349,0.001865905435305755,104,0.3353925661051471,709.2702893921304
low_height_first_10000,primary,12,512,6959,7470,7214.5,511.29494881809387,1.0005771992526298,1.0008012902229968,0.0,0.0,0.001407044054016104,2.9816411621401633,3.3897335494431934e-11,0,983.2342520938487,983.2342520938491,4.547473508864641e-13,0.9203793986207982,982.5338481319868,0.9190114221327867,0.0013679764880114575,0.0007123469919506155,208,0.33538576428902656,710.7098012643709
low_height_first_10000,primary,13,128,7783,7910,7846.5,127.09699222683776,1.0007637183215572,1.0063363138255688,0.0,0.0,0.005107092315160748,2.9050943135808573,8.256774644851411e-12,0,244.42514502102946,244.42514502102946,0.0,0.9095714454767927,245.0191134217765,0.9142118236076289,-0.004640378130836176,-0.0024300625890839814,52,0.34422290365072067,195.8061335667328
low_height_first_10000,primary,13,256,7719,7974,7846.5,255.27564155831533,1.001080947287511,1.0017547100569517,0.0,0.0,0.002891047578521156,2.9050943135808605,1.651354928970284e-11,0,490.8254905796622,490.82549057966196,2.2737367544323206e-13,0.9172870725768054,490.7555581817033,0.9170138991472785,0.00027317342952692947,0.00014247914849798075,103,0.34422290365072034,345.8953797334339
low_height_first_10000,primary,13,512,7591,8102,7846.5,510.6842665717586,0.9993821263635198,1.003196261218411,0.0,0.0,0.0028910470241816813,2.9050943135808533,3.30270985794056e-11,0,983.7792335337105,983.7792335337103,1.1368683772161603e-13,0.9214438154955282,983.0955793163644,0.9201085533522741,0.001335262143254079,0.0006949264571182495,207,0.34422290365072117,345.8954460566247
low_height_first_10000,primary,14,128,8416,8543,8479.5,126.53856502943017,0.9963666537750407,1.0152380359535416,0.0,0.0,0.007245407436409347,2.8620489746068984,8.1344324331863e-12,0,246.22141507645975,246.2214150764598,5.684341886080802e-14,0.9236048052848418,245.53203567380342,0.9182190287015892,0.005385776583252566,0.0027998352720142307,51,0.3494000308423617,138.01846325091918
low_height_first_10000,primary,14,256,8352,8607,8479.5,255.37135033984305,1.0014562758425218,1.0010039699595221,0.0,0.0,0.003888413036150755,2.886327162902838,1.6406870389021366e-11,0,491.1990669584756,491.19906695847584,2.2737367544323206e-13,0.9187463553065454,490.66786986899194,0.9166713666757498,0.0020749886307955823,0.0010814293536281793,104,0.3464610709599114,257.17432554179663
low_height_first_10000,primary,14,512,8224,8735,8479.5,510.6156077580854,0.9992477646929264,1.003466064549578,0.0,0.0,0.0037379369734325163,2.8863271629028344,3.281374077804269e-11,0,983.9127080664795,983.9127080664794,1.1368683772161603e-13,0.9217045079423427,983.1588184610343,0.9202320673067077,0.0014724406356350084,0.0007662159450370537,207,0.34646107095991185,267.52725022051624
low_height_first_10000,primary,15,128,9048,9175,9111.5,127.20178717577255,1.001588875399784,1.0046788603592798,0.0,0.0,0.0033054702015683202,2.8233398204165105,8.024414399916709e-12,0,244.26436574904267,244.2643657490426,5.684341886080802e-14,0.9083153574143958,244.92335644007335,0.913463722188073,-0.005148364773677194,-0.002697858482181262,51,0.354190449470045,302.5288201132589
low_height_first_10000,primary,15,256,8984,9239,9111.5,254.63056475507983,0.9985512343336463,1.0068367965204332,0.0,0.0,0.0033054702015688628,2.8536233453871387,1.6220970709282134e-11,0,491.0991343666443,491.0991343666444,1.1368683772161603e-13,0.9183559936197043,491.34829070060005,0.9193292605492189,-0.0009732669295146046,-0.000507344274343037,105,0.35043167193613434,302.52882011320924
low_height_first_10000,primary,15,512,8856,9367,9111.5,510.4810314820097,0.9989844060313302,1.0039952145795294,0.0,0.0,0.003066619499456291,2.9026973895521007,3.2999848708096814e-11,0,984.6589731748538,984.6589731748533,5.684341886080801e-13,0.9231620569821364,983.282821057458,0.9204742598778477,0.0026877971042886806,0.0013975926233207952,207,0.34450714828193113,326.0919720158628
low_height_first_10000,primary,16,128,9681,9808,9744.5,127.26324295359882,1.0020727791621955,1.0037087701527951,0.0,0.0,0.0033003604264284637,2.8166100438604715,8.00528722453598e-12,0,244.17218032385878,244.17218032385875,2.842170943040401e-14,0.9075951587801467,244.86727373496205,0.913025576054391,-0.005430417274244315,-0.0028467346696963275,51,0.3550367230209088,302.9972096357262
low_height_first_10000,primary,16,256,9617,9872,9744.5,254.75825579831144,0.9990519835227899,1.005827747209788,0.0,0.0,0.0018715208306902152,2.8376230038267147,1.6130019297558617e-11,0,490.8816644667709,490.8816644667708,1.1368683772161603e-13,0.9175065018233239,491.23072357088324,0.9188700139487627,-0.0013635121254387261,-0.0007110860506299123,102,0.3524076308415306,534.324803444053
low_height_first_10000,primary,16,512,9489,10000,9744.5,511.27914621641503,1.0005462743961155,1.0008631566561381,0.0,0.0,0.0013342108035263082,2.8712198094926444,3.264199005448796e-11,0,982.6374843373703,982.6374843373707,3.410605131648481e-13,0.9192138365964264,982.5483671443974,0.9190397795789012,0.00017405701752526426,9.069183131460774e-05,206,0.3482840278176765,749.5067476271428
near_1e12,secondary_control,1,128,193,320,256.5,127.51490515966168,1.0040543713359187,0.9997508594611373,0.0,0.0,0.0005455551518607119,3.1657284822654477,8.997541505850243e-12,0,247.18641345494729,247.18641345494729,0.0,0.9311438551167757,247.91923510651006,0.9368690242696098,-0.005725169152834164,-0.002964651824184255,52,0.3158830599661483,1832.9952463821924
near_1e12,secondary_control,1,256,129,384,256.5,254.87242729238534,0.9994997148720993,1.0049268169914711,0.0,0.0,0.0005455551518607865,3.165728482271666,1.7995083011735833e-11,0,495.7786331896941,495.7786331896942,5.684341886080802e-14,0.9366352858972427,497.71781126398344,0.9442102002499353,-0.007574914352692641,-0.003911378878539428,103,0.31588305996552785,1832.9952463819418
