dataset,N,L,rho2_finite,pairs_within_30,frobC2_direct_window30_plus_diag,D_C_direct,frobC2_pair_prediction,D_C_pair_prediction,D_C_abs_difference,frob_relative_difference,tail_bound_ordered_pairs
low_height_first_10000,10000,9999.229991128128,1.0000540041616544,294472,19201.665065972804,0.9201665065972804,19209.746092089597,0.9209746092089597,-0.0008081026116792955,-0.0004208502798600453,0.0
near_1e12,10000,10000.086868692197,0.9998826282252943,294577,19458.139292762382,0.9458139292762382,19466.30758585211,0.9466307585852112,-0.0008168293089729772,-0.000419787985214384,0.0
near_1e21,10000,9998.699107337858,1.0001602032879564,294484,19514.35313513268,0.9514353135132678,19530.118579797665,0.9530118579797664,-0.001576544466498575,-0.0008078896879550359,0.0
