dataset,role,m,lambda,p_pos_mean,p_pos_sd_location,p_neg_mean,p_neg_sd_location,p_unres_mean,b_pos_mean,b_pos_sd_location,min_abs_H_eig_min,n_unres_total,bound_slack_mean
low_height_first_10000,primary,128,0.1,1.0,0.0,0.0,0.0,0.0,0.9888727831998357,6.0989955956689976e-05,0.7094905686419142,0,0.011127216800164243
low_height_first_10000,primary,128,0.15,1.0,0.0,0.0,0.0,0.0,0.9723992909595514,0.00014875233551798228,0.5642358529628715,0,0.027600709040448645
low_height_first_10000,primary,128,0.2,1.0,0.0,0.0,0.0,0.0,0.9461048252206647,0.00028257668563779446,0.41898113728382846,0,0.053895174779335246
low_height_first_10000,primary,128,0.25,1.0,0.0,0.0,0.0,0.0,0.9080412224691544,0.00046266973349573347,0.27372642160478566,0,0.09195877753084558
low_height_first_10000,primary,128,0.3,1.0,0.0,0.0,0.0,0.0,0.8565986312444537,0.0006804589549462961,0.12847170592574286,0,0.14340136875554638
low_height_first_10000,primary,128,0.35,0.9990234375,0.0026684767619686417,0.0009765625,0.0026684767619686452,0.0,0.7909740208718765,0.0009155982287330814,0.00011904195558498643,0,0.20804941662812348
low_height_first_10000,primary,128,0.4,0.8857421875,0.013342383809843239,0.1142578125,0.013342383809843225,0.0,0.7117011871206164,0.0011358673486818662,0.00017155629026599506,0,0.17404100037938358
low_height_first_10000,primary,128,0.45,0.82470703125,0.0124244952687138,0.17529296875,0.012424495268713804,0.0,0.6210657938312879,0.0013023001993647922,0.0007980064631755157,0,0.20364123741871212
low_height_first_10000,primary,128,0.5,0.77392578125,0.008301738609007868,0.22607421875,0.00830173860900785,0.0,0.5231673620359297,0.0013798282430294714,0.0004995045497092621,0,0.2507584192140703
low_height_first_10000,primary,128,0.55,0.74609375,0.00806871530459878,0.25390625,0.008068715304598786,0.0,0.4234558451726654,0.0013497851713224287,0.0005907376460181357,0,0.3226379048273346
low_height_first_10000,primary,128,0.6,0.72021484375,0.008178285805959484,0.27978515625,0.00817828580595948,0.0,0.3277919536079682,0.0012176983020120453,0.0010416741591475764,0,0.3924228901420318
low_height_first_10000,primary,128,0.65,0.69384765625,0.008661546025813845,0.30615234375,0.008661546025813845,0.0,0.24134228853204734,0.0010114606287018122,0.0023443566909508995,0,0.4525053677179527
low_height_first_10000,primary,128,0.7,0.6708984375,0.008498525454208714,0.3291015625,0.008498525454208712,0.0,0.16772325379648537,0.0007708818814721678,0.0011048640316608793,0,0.5031751837035147
low_height_first_10000,primary,128,0.75,0.65234375,0.005705443307345476,0.34765625,0.005705443307345488,0.0,0.10866245505290897,0.0005347293520553505,0.0010515412794840362,0,0.543681294947091
low_height_first_10000,primary,128,0.8,0.63525390625,0.007925613434131881,0.36474609375,0.007925613434131866,0.0,0.06417350060117898,0.0003314951811141844,0.00040393869293642304,0,0.571080405648821
low_height_first_10000,primary,128,0.85,0.62255859375,0.006196877101193112,0.37744140625,0.006196877101193122,0.0,0.033039551077968465,0.00017632290983257267,0.000622728093117253,0,0.5895190426720316
low_height_first_10000,primary,128,0.9,0.6064453125,0.008005430285905937,0.3935546875,0.00800543028590593,0.0,0.01336450023725794,7.27674734647043e-05,0.00013955078049932013,0,0.593080812262742
low_height_first_10000,primary,128,0.95,0.5947265625,0.00691454064966238,0.4052734375,0.006914540649662371,0.0,0.003030093152997791,1.6670394568834614e-05,0.0001814573335409131,0,0.5916964693470022
low_height_first_10000,primary,256,0.1,1.0,0.0,0.0,0.0,0.0,0.9888033806830407,5.790750459436355e-05,0.7018419306030488,0,0.011196619316959262
